team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Central Michigan,Mid-American,2-1,1-1,-10.55,-9.75,-11.77,-2.02,Medium,1.0,38.26,67.41,36.54,1267.67,0.5,-8.5,1398.0,-6.611,0.02843,0.082978,0.0,0.0,540.01,,
Buffalo,Mid-American,1-2,0-2,-11.0,-9.6,-13.1,-3.5,Medium,1.0,23.58,66.92,26.17,1331.33,0.0,-27.5,1632.5,-7.056,0.015234,0.144278,0.0,0.0,549.31,,
Rice,American Athletic,1-2,0-2,-11.29,-9.71,-13.64,-3.93,Medium,1.0,42.88,62.62,30.85,1168.33,0.0,-29.5,1777.5,-0.167,0.032723,0.099195,0.0,0.0,589.89,,
Western Kentucky,Conference USA,0-3,0-3,-11.62,-12.54,-10.24,2.3,Medium,1.0,0.0,88.27,28.03,1273.0,0.0,-41.0,1778.333,-12.889,-0.153106,0.453606,0.0,0.0,611.52,,
Wyoming,Mountain West,1-2,0-2,-11.72,-13.7,-8.73,4.97,Medium,1.0,40.28,87.21,19.08,1292.33,0.0,-18.0,1266.0,-16.833,0.040582,0.14122,0.0,0.0,528.29,,
Kennesaw State,Conference USA,1-2,0-2,-11.88,-12.8,-10.52,2.28,Medium,1.0,49.31,42.83,23.54,1328.33,0.0,-23.5,1485.0,1.889,0.107091,0.121867,0.0,0.0,502.86,,
New Mexico State,Conference USA,1-2,0-2,-12.16,-10.44,-14.72,-4.28,Medium,1.0,51.19,31.04,34.78,1262.33,0.0,-13.5,1481.5,6.444,0.154792,0.095882,0.0,0.0,460.38,,
Sam Houston,Conference USA,1-2,0-2,-12.57,-9.18,-17.66,-8.48,Medium,1.0,68.25,17.67,38.44,1160.0,0.0,-4.5,1345.0,19.111,0.224678,-0.033082,0.0,0.0,554.47,,
Missouri State,Conference USA,1-2,0-2,-12.94,-12.0,-14.35,-2.35,Medium,1.0,42.68,50.6,22.49,1277.67,0.0,-28.0,1568.0,1.5,0.178098,0.241278,0.0,0.0,549.92,,
Charlotte,American Athletic,0-3,0-2,-13.1,-9.6,-18.35,-8.76,Medium,1.0,28.38,59.98,33.84,1173.0,0.0,-18.5,1581.0,0.333,0.024174,0.245285,0.0,0.0,576.77,,
Eastern Michigan,Mid-American,1-3,1-3,-13.4,-14.38,-11.94,2.44,High,1.0,23.43,75.95,38.51,1298.5,0.25,-16.75,1462.25,-9.125,-0.098836,0.16423,0.0,0.0,580.64,,
Northern Illinois,Mountain West,0-3,0-2,-14.09,-12.69,-16.19,-3.5,Medium,1.0,22.43,53.69,23.66,1250.33,0.0,-32.5,1699.5,-0.111,-0.142125,0.137634,0.0,0.0,536.58,,
UL Monroe,Sun Belt,0-3,0-2,-14.65,-12.73,-17.52,-4.79,Medium,1.0,22.12,78.2,16.85,1075.33,0.0,-27.5,1444.5,-9.944,-0.110283,0.306915,0.0,0.0,505.49,,
Ball State,Mid-American,1-2,0-2,-15.22,-14.71,-15.99,-1.28,Medium,1.0,18.98,72.27,15.16,1089.67,0.0,-44.5,1811.0,-4.556,0.044016,0.368591,0.0,0.0,563.88,,
Bowling Green,Mid-American,0-3,0-2,-15.62,-15.27,-16.13,-0.86,Medium,1.0,13.31,94.88,0.0,1233.0,0.0,-48.5,1590.0,-17.389,-0.080267,0.324643,0.0,0.0,568.33,,
UTEP,Mountain West,1-2,0-2,-16.42,-15.26,-18.14,-2.88,Medium,1.0,18.67,60.63,11.75,1145.33,0.0,-43.0,1704.0,0.944,-0.167055,0.234369,0.0,0.0,585.76,,
Southern Miss,Sun Belt,1-2,0-2,-16.66,-17.78,-14.98,2.79,Medium,1.0,43.67,59.57,15.73,1286.33,0.0,-31.5,1513.0,-0.222,0.01216,0.119785,0.0,0.0,602.63,,
Sacramento State,Mid-American,1-3,0-3,-16.75,-15.54,-18.56,-3.02,Medium,1.0,37.98,56.83,21.06,1390.75,0.0,-26.0,1447.333,-2.833,-0.043666,0.096497,0.0,0.0,561.42,,
Kent State,Mid-American,1-2,0-2,-17.19,-15.92,-19.1,-3.18,Medium,1.0,11.74,70.4,1.19,1032.67,0.0,-56.5,1807.0,-4.722,-0.112746,0.24207,0.0,0.0,522.83,,
Akron,Mid-American,1-2,0-2,-19.49,-20.28,-18.3,1.98,Medium,1.0,44.87,65.7,17.96,910.33,0.0,-28.0,1486.0,0.833,0.076054,0.180639,0.0,0.0,546.84,,
