years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",2.5,0.12,12.0,1.0,2125,0.8,0.2,5.0372,13.2396,6.6777,0.8881
"2023,2024,2025",2.5,0.05,10.0,0.1,2125,0.8,0.2,5.0651,13.2548,6.703,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.1,2125,0.8,0.2,5.0654,13.254,6.7031,0.8848
"2023,2024,2025",2.5,0.08,10.0,0.1,2125,0.8,0.2,5.0686,13.2561,6.7061,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.75,2125,0.8,0.2,5.0704,13.2512,6.7066,0.8884
"2023,2024,2025",2.5,0.05,10.0,0.75,2125,0.8,0.2,5.0711,13.253,6.7075,0.8884
"2023,2024,2025",2.5,0.05,10.0,0.2,2125,0.8,0.2,5.0712,13.2525,6.7075,0.8862
"2023,2024,2025",2.5,0.0,10.0,0.2,2125,0.8,0.2,5.0715,13.2516,6.7075,0.8862
"2023,2024,2025",2.5,0.0,10.0,0.5,2125,0.8,0.2,5.0728,13.2523,6.7087,0.8877
"2023,2024,2025",2.5,0.05,10.0,0.5,2125,0.8,0.2,5.0731,13.2537,6.7092,0.8877
"2023,2024,2025",2.5,0.0,10.0,1.0,2125,0.8,0.2,5.0736,13.2562,6.7101,0.8886
"2023,2024,2025",2.5,0.0,10.0,0.35,2125,0.8,0.2,5.0745,13.2528,6.7102,0.8871
"2023,2024,2025",2.5,0.05,10.0,0.35,2125,0.8,0.2,5.0745,13.254,6.7104,0.8871
"2023,2024,2025",2.5,0.08,10.0,0.2,2125,0.8,0.2,5.0746,13.2541,6.7105,0.8861
"2023,2024,2025",2.5,0.05,10.0,1.0,2125,0.8,0.2,5.0746,13.2581,6.7113,0.8886
"2023,2024,2025",2.5,0.08,10.0,0.75,2125,0.8,0.2,5.0757,13.256,6.7117,0.8883
"2023,2024,2025",2.5,0.08,10.0,0.5,2125,0.8,0.2,5.077,13.2562,6.7129,0.8876
"2023,2024,2025",2.5,0.08,10.0,0.35,2125,0.8,0.2,5.0782,13.256,6.7138,0.8871
"2023,2024,2025",2.5,0.08,10.0,1.0,2125,0.8,0.2,5.0794,13.2617,6.7159,0.8885
"2023,2024,2025",2.5,0.12,10.0,0.1,2125,0.8,0.2,5.0807,13.2589,6.7163,0.8846
"2023,2024,2025",2.5,0.12,10.0,0.2,2125,0.8,0.2,5.0874,13.2571,6.7214,0.886
"2023,2024,2025",2.5,0.12,10.0,0.75,2125,0.8,0.2,5.0914,13.2609,6.7253,0.888
"2023,2024,2025",2.5,0.12,10.0,0.5,2125,0.8,0.2,5.0916,13.26,6.7253,0.8874
"2023,2024,2025",2.5,0.12,10.0,0.35,2125,0.8,0.2,5.0919,13.2596,6.7254,0.8869
"2023,2024,2025",2.5,0.12,10.0,1.0,2125,0.8,0.2,5.0961,13.2671,6.7303,0.8882
"2023,2024,2025",4.0,0.08,14.0,0.1,2125,0.8,0.2,5.1188,13.2562,6.7463,0.8834
