years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",2.5,0.0,14.0,0.75,2125,0.6,0.4,4.9558,13.2,8.2535,0.8882
"2023,2024,2025",2.5,0.0,14.0,0.1,2125,0.6,0.4,4.9574,13.1977,8.2536,0.886
"2023,2024,2025",2.5,0.05,14.0,0.1,2125,0.6,0.4,4.9576,13.1986,8.254,0.886
"2023,2024,2025",2.5,0.05,14.0,0.75,2125,0.6,0.4,4.9574,13.202,8.2552,0.8881
"2023,2024,2025",2.5,0.08,14.0,0.1,2125,0.6,0.4,4.9615,13.1995,8.2567,0.8858
"2023,2024,2025",2.5,0.0,14.0,0.5,2125,0.6,0.4,4.9596,13.2026,8.2568,0.8878
"2023,2024,2025",2.5,0.0,14.0,0.2,2125,0.6,0.4,4.9625,13.2008,8.2578,0.8868
"2023,2024,2025",2.5,0.0,14.0,1.0,2125,0.6,0.4,4.96,13.205,8.258,0.8883
"2023,2024,2025",2.5,0.05,14.0,0.5,2125,0.6,0.4,4.9608,13.2042,8.2581,0.8878
"2023,2024,2025",2.5,0.05,14.0,0.2,2125,0.6,0.4,4.9631,13.2017,8.2585,0.8868
"2023,2024,2025",2.5,0.0,14.0,0.35,2125,0.6,0.4,4.9627,13.2034,8.259,0.8874
"2023,2024,2025",2.5,0.08,14.0,0.75,2125,0.6,0.4,4.9627,13.2049,8.2596,0.888
"2023,2024,2025",2.5,0.05,14.0,0.35,2125,0.6,0.4,4.9636,13.2047,8.26,0.8874
"2023,2024,2025",2.5,0.05,14.0,1.0,2125,0.6,0.4,4.9618,13.2074,8.2601,0.8883
"2023,2024,2025",2.5,0.08,14.0,0.2,2125,0.6,0.4,4.967,13.203,8.2614,0.8867
"2023,2024,2025",2.5,0.08,14.0,0.5,2125,0.6,0.4,4.9655,13.2064,8.2618,0.8876
"2023,2024,2025",2.5,0.08,14.0,0.35,2125,0.6,0.4,4.968,13.2065,8.2634,0.8872
"2023,2024,2025",2.5,0.12,14.0,0.1,2125,0.6,0.4,4.9721,13.2016,8.2639,0.8856
"2023,2024,2025",2.5,0.08,14.0,1.0,2125,0.6,0.4,4.9677,13.2108,8.265,0.8881
"2023,2024,2025",2.5,0.12,14.0,0.2,2125,0.6,0.4,4.9778,13.2055,8.2689,0.8863
"2023,2024,2025",2.5,0.12,14.0,0.75,2125,0.6,0.4,4.9771,13.2096,8.2701,0.8875
"2023,2024,2025",2.5,0.12,14.0,0.5,2125,0.6,0.4,4.978,13.2101,8.2709,0.8872
"2023,2024,2025",2.5,0.12,14.0,0.35,2125,0.6,0.4,4.9795,13.2096,8.2716,0.8869
"2023,2024,2025",2.5,0.12,14.0,1.0,2125,0.6,0.4,4.9836,13.2165,8.2768,0.8877
"2023,2024,2025",2.5,0.0,12.0,0.1,2125,0.6,0.4,5.0084,13.223,8.2942,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.1,2125,0.6,0.4,5.0085,13.2237,8.2946,0.8856
"2023,2024,2025",2.5,0.0,12.0,0.75,2125,0.6,0.4,5.0114,13.2235,8.2962,0.8884
"2023,2024,2025",2.5,0.08,12.0,0.1,2125,0.6,0.4,5.0121,13.2247,8.2972,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.75,2125,0.6,0.4,5.0124,13.2254,8.2976,0.8884
"2023,2024,2025",2.5,0.0,12.0,0.2,2125,0.6,0.4,5.0134,13.2237,8.2976,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.2,2125,0.6,0.4,5.0136,13.2247,8.298,0.8866
"2023,2024,2025",2.5,0.0,12.0,0.5,2125,0.6,0.4,5.0149,13.2251,8.299,0.8879
"2023,2024,2025",2.5,0.0,12.0,1.0,2125,0.6,0.4,5.0146,13.2285,8.3001,0.8886
"2023,2024,2025",2.5,0.05,12.0,0.5,2125,0.6,0.4,5.0157,13.2267,8.3001,0.8878
"2023,2024,2025",2.5,0.0,12.0,0.35,2125,0.6,0.4,5.0168,13.2261,8.3005,0.8874
"2023,2024,2025",2.5,0.08,12.0,0.2,2125,0.6,0.4,5.0171,13.226,8.3007,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.35,2125,0.6,0.4,5.0173,13.2273,8.3013,0.8874
"2023,2024,2025",2.5,0.08,12.0,0.75,2125,0.6,0.4,5.0174,13.2283,8.3017,0.8882
"2023,2024,2025",2.5,0.05,12.0,1.0,2125,0.6,0.4,5.016,13.2307,8.3018,0.8885
"2023,2024,2025",2.5,0.08,12.0,0.5,2125,0.6,0.4,5.0199,13.2289,8.3035,0.8877
"2023,2024,2025",2.5,0.08,12.0,0.35,2125,0.6,0.4,5.0212,13.2292,8.3044,0.8873
"2023,2024,2025",2.5,0.12,12.0,0.1,2125,0.6,0.4,5.0231,13.2273,8.3048,0.8854
"2023,2024,2025",2.5,0.08,12.0,1.0,2125,0.6,0.4,5.0213,13.2342,8.3065,0.8884
"2023,2024,2025",2.5,0.12,12.0,0.2,2125,0.6,0.4,5.0286,13.2288,8.3087,0.8863
"2023,2024,2025",2.5,0.12,12.0,0.75,2125,0.6,0.4,5.0321,13.2331,8.3125,0.8878
"2023,2024,2025",2.5,0.12,12.0,0.5,2125,0.6,0.4,5.0332,13.2329,8.313,0.8875
"2023,2024,2025",2.5,0.12,12.0,0.35,2125,0.6,0.4,5.0334,13.2325,8.313,0.887
"2023,2024,2025",2.5,0.12,12.0,1.0,2125,0.6,0.4,5.0372,13.2396,8.3182,0.8881
"2023,2024,2025",2.5,0.0,10.0,0.1,2125,0.6,0.4,5.0654,13.254,8.3408,0.8848
"2023,2024,2025",2.5,0.05,10.0,0.1,2125,0.6,0.4,5.0651,13.2548,8.341,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.75,2125,0.6,0.4,5.0704,13.2512,8.3428,0.8884
"2023,2024,2025",2.5,0.0,10.0,0.2,2125,0.6,0.4,5.0715,13.2516,8.3435,0.8862
"2023,2024,2025",2.5,0.08,10.0,0.1,2125,0.6,0.4,5.0686,13.2561,8.3436,0.8848
"2023,2024,2025",2.5,0.05,10.0,0.2,2125,0.6,0.4,5.0712,13.2525,8.3437,0.8862
"2023,2024,2025",2.5,0.05,10.0,0.75,2125,0.6,0.4,5.0711,13.253,8.3439,0.8884
"2023,2024,2025",2.5,0.0,10.0,0.5,2125,0.6,0.4,5.0728,13.2523,8.3446,0.8877
"2023,2024,2025",2.5,0.05,10.0,0.5,2125,0.6,0.4,5.0731,13.2537,8.3454,0.8877
"2023,2024,2025",2.5,0.0,10.0,0.35,2125,0.6,0.4,5.0745,13.2528,8.3458,0.8871
"2023,2024,2025",2.5,0.05,10.0,0.35,2125,0.6,0.4,5.0745,13.254,8.3463,0.8871
"2023,2024,2025",2.5,0.08,10.0,0.2,2125,0.6,0.4,5.0746,13.2541,8.3464,0.8861
"2023,2024,2025",2.5,0.0,10.0,1.0,2125,0.6,0.4,5.0736,13.2562,8.3466,0.8886
"2023,2024,2025",2.5,0.08,10.0,0.75,2125,0.6,0.4,5.0757,13.256,8.3478,0.8883
"2023,2024,2025",2.5,0.05,10.0,1.0,2125,0.6,0.4,5.0746,13.2581,8.348,0.8886
"2023,2024,2025",2.5,0.08,10.0,0.5,2125,0.6,0.4,5.077,13.2562,8.3487,0.8876
"2023,2024,2025",2.5,0.08,10.0,0.35,2125,0.6,0.4,5.0782,13.256,8.3493,0.8871
"2023,2024,2025",2.5,0.12,10.0,0.1,2125,0.6,0.4,5.0807,13.2589,8.352,0.8846
"2023,2024,2025",2.5,0.08,10.0,1.0,2125,0.6,0.4,5.0794,13.2617,8.3523,0.8885
"2023,2024,2025",2.5,0.12,10.0,0.2,2125,0.6,0.4,5.0874,13.2571,8.3553,0.886
"2023,2024,2025",2.5,0.12,10.0,0.5,2125,0.6,0.4,5.0916,13.26,8.359,0.8874
"2023,2024,2025",2.5,0.12,10.0,0.35,2125,0.6,0.4,5.0919,13.2596,8.359,0.8869
"2023,2024,2025",2.5,0.12,10.0,0.75,2125,0.6,0.4,5.0914,13.2609,8.3592,0.888
"2023,2024,2025",2.5,0.12,10.0,1.0,2125,0.6,0.4,5.0961,13.2671,8.3645,0.8882
"2023,2024,2025",4.0,0.08,14.0,0.1,2125,0.6,0.4,5.1188,13.2562,8.3738,0.8834
"2023,2024,2025",4.0,0.0,14.0,0.1,2125,0.6,0.4,5.119,13.2561,8.3738,0.8834
"2023,2024,2025",4.0,0.05,14.0,0.1,2125,0.6,0.4,5.119,13.2561,8.3738,0.8834
"2023,2024,2025",4.0,0.12,14.0,0.1,2125,0.6,0.4,5.1198,13.258,8.3751,0.8834
"2023,2024,2025",4.0,0.08,14.0,0.2,2125,0.6,0.4,5.1345,13.2617,8.3854,0.8831
"2023,2024,2025",4.0,0.0,14.0,0.2,2125,0.6,0.4,5.1347,13.2615,8.3854,0.8831
"2023,2024,2025",4.0,0.05,14.0,0.2,2125,0.6,0.4,5.1347,13.2615,8.3854,0.8831
"2023,2024,2025",4.0,0.12,14.0,0.2,2125,0.6,0.4,5.1354,13.2637,8.3867,0.8831
"2023,2024,2025",2.5,0.05,8.0,0.1,2125,0.6,0.4,5.1267,13.2898,8.3919,0.8834
"2023,2024,2025",2.5,0.0,8.0,0.1,2125,0.6,0.4,5.1274,13.2889,8.392,0.8835
"2023,2024,2025",2.5,0.0,8.0,0.75,2125,0.6,0.4,5.1325,13.2845,8.3933,0.8878
"2023,2024,2025",2.5,0.0,8.0,0.2,2125,0.6,0.4,5.1325,13.2857,8.3938,0.8852
"2023,2024,2025",2.5,0.05,8.0,0.2,2125,0.6,0.4,5.132,13.2867,8.3939,0.8853
"2023,2024,2025",2.5,0.05,8.0,0.75,2125,0.6,0.4,5.1327,13.2862,8.3941,0.8877
"2023,2024,2025",2.5,0.08,8.0,0.1,2125,0.6,0.4,5.13,13.2914,8.3945,0.8835
"2023,2024,2025",2.5,0.0,8.0,0.5,2125,0.6,0.4,5.1341,13.2855,8.3947,0.887
"2023,2024,2025",2.5,0.05,8.0,0.5,2125,0.6,0.4,5.134,13.2869,8.3951,0.887
"2023,2024,2025",2.5,0.0,8.0,0.35,2125,0.6,0.4,5.1354,13.2863,8.3957,0.8863
"2023,2024,2025",2.5,0.05,8.0,0.35,2125,0.6,0.4,5.1351,13.2874,8.396,0.8864
"2023,2024,2025",2.5,0.0,8.0,1.0,2125,0.6,0.4,5.1356,13.2878,8.3965,0.888
"2023,2024,2025",2.5,0.08,8.0,0.2,2125,0.6,0.4,5.1353,13.2887,8.3967,0.8853
"2023,2024,2025",2.5,0.05,8.0,1.0,2125,0.6,0.4,5.1359,13.2897,8.3974,0.888
"2023,2024,2025",2.5,0.08,8.0,0.75,2125,0.6,0.4,5.1369,13.2893,8.3979,0.8877
"2023,2024,2025",2.5,0.08,8.0,0.5,2125,0.6,0.4,5.1379,13.2896,8.3986,0.8871
"2023,2024,2025",4.0,0.08,14.0,0.35,2125,0.6,0.4,5.1528,13.2678,8.3988,0.883
"2023,2024,2025",4.0,0.0,14.0,0.35,2125,0.6,0.4,5.1529,13.2676,8.3988,0.883
"2023,2024,2025",4.0,0.05,14.0,0.35,2125,0.6,0.4,5.1529,13.2676,8.3988,0.883
"2023,2024,2025",2.5,0.08,8.0,0.35,2125,0.6,0.4,5.1386,13.2898,8.3991,0.8864
"2023,2024,2025",4.0,0.12,14.0,0.35,2125,0.6,0.4,5.1539,13.2702,8.4004,0.883
"2023,2024,2025",2.5,0.08,8.0,1.0,2125,0.6,0.4,5.1404,13.2931,8.4015,0.8879
"2023,2024,2025",4.0,0.0,14.0,0.5,2125,0.6,0.4,5.1609,13.2693,8.4043,0.8829
"2023,2024,2025",4.0,0.05,14.0,0.5,2125,0.6,0.4,5.1609,13.2693,8.4043,0.8829
"2023,2024,2025",4.0,0.08,14.0,0.5,2125,0.6,0.4,5.1609,13.2695,8.4043,0.8829
"2023,2024,2025",2.5,0.12,8.0,0.1,2125,0.6,0.4,5.1439,13.295,8.4044,0.8835
"2023,2024,2025",4.0,0.12,14.0,0.5,2125,0.6,0.4,5.1621,13.2724,8.4062,0.8829
"2023,2024,2025",2.5,0.12,8.0,0.2,2125,0.6,0.4,5.1499,13.2923,8.4069,0.8852
"2023,2024,2025",2.5,0.12,8.0,0.5,2125,0.6,0.4,5.154,13.2937,8.4099,0.8868
"2023,2024,2025",2.5,0.12,8.0,0.35,2125,0.6,0.4,5.1541,13.2936,8.4099,0.8863
"2023,2024,2025",2.5,0.12,8.0,0.75,2125,0.6,0.4,5.1541,13.2942,8.4101,0.8875
"2023,2024,2025",4.0,0.0,14.0,0.75,2125,0.6,0.4,5.1708,13.2722,8.4114,0.8828
"2023,2024,2025",4.0,0.05,14.0,0.75,2125,0.6,0.4,5.1708,13.2722,8.4114,0.8828
"2023,2024,2025",4.0,0.08,14.0,0.75,2125,0.6,0.4,5.1709,13.2724,8.4115,0.8828
"2023,2024,2025",4.0,0.12,14.0,0.75,2125,0.6,0.4,5.1726,13.2761,8.414,0.8828
"2023,2024,2025",2.5,0.12,8.0,1.0,2125,0.6,0.4,5.1584,13.2988,8.4146,0.8878
"2023,2024,2025",4.0,0.0,14.0,1.0,2125,0.6,0.4,5.1839,13.2811,8.4228,0.8826
"2023,2024,2025",4.0,0.05,14.0,1.0,2125,0.6,0.4,5.1839,13.2811,8.4228,0.8826
"2023,2024,2025",4.0,0.08,14.0,1.0,2125,0.6,0.4,5.184,13.2813,8.4229,0.8826
"2023,2024,2025",4.0,0.12,14.0,1.0,2125,0.6,0.4,5.1865,13.2856,8.4261,0.8825
"2023,2024,2025",4.0,0.08,12.0,0.1,2125,0.6,0.4,5.1971,13.2941,8.4359,0.8838
"2023,2024,2025",4.0,0.0,12.0,0.1,2125,0.6,0.4,5.1974,13.2938,8.436,0.8838
"2023,2024,2025",4.0,0.05,12.0,0.1,2125,0.6,0.4,5.1974,13.2938,8.436,0.8838
"2023,2024,2025",4.0,0.12,12.0,0.1,2125,0.6,0.4,5.1978,13.296,8.4371,0.8838
"2023,2024,2025",4.0,0.08,12.0,0.2,2125,0.6,0.4,5.2133,13.296,8.4464,0.8839
"2023,2024,2025",4.0,0.0,12.0,0.2,2125,0.6,0.4,5.2135,13.2958,8.4464,0.8839
"2023,2024,2025",4.0,0.05,12.0,0.2,2125,0.6,0.4,5.2135,13.2958,8.4464,0.8839
"2023,2024,2025",4.0,0.12,12.0,0.2,2125,0.6,0.4,5.2142,13.2982,8.4478,0.8839
"2023,2024,2025",5.0,0.12,14.0,0.1,2125,0.6,0.4,5.2263,13.294,8.4534,0.881
"2023,2024,2025",5.0,0.0,14.0,0.1,2125,0.6,0.4,5.2265,13.2937,8.4534,0.881
"2023,2024,2025",5.0,0.05,14.0,0.1,2125,0.6,0.4,5.2265,13.2937,8.4534,0.881
"2023,2024,2025",5.0,0.08,14.0,0.1,2125,0.6,0.4,5.2265,13.2937,8.4534,0.881
"2023,2024,2025",4.0,0.08,12.0,0.35,2125,0.6,0.4,5.23,13.3012,8.4585,0.884
"2023,2024,2025",4.0,0.0,12.0,0.35,2125,0.6,0.4,5.2301,13.301,8.4585,0.884
"2023,2024,2025",4.0,0.05,12.0,0.35,2125,0.6,0.4,5.2301,13.301,8.4585,0.884
"2023,2024,2025",4.0,0.12,12.0,0.35,2125,0.6,0.4,5.231,13.3037,8.4601,0.884
"2023,2024,2025",4.0,0.0,12.0,0.5,2125,0.6,0.4,5.2385,13.3029,8.4642,0.884
"2023,2024,2025",4.0,0.08,12.0,0.5,2125,0.6,0.4,5.2384,13.3031,8.4643,0.884
"2023,2024,2025",4.0,0.05,12.0,0.5,2125,0.6,0.4,5.2385,13.3029,8.4643,0.884
"2023,2024,2025",4.0,0.12,12.0,0.5,2125,0.6,0.4,5.2398,13.3062,8.4664,0.884
"2023,2024,2025",5.0,0.12,14.0,0.2,2125,0.6,0.4,5.2478,13.3016,8.4694,0.8803
"2023,2024,2025",5.0,0.0,14.0,0.2,2125,0.6,0.4,5.248,13.3014,8.4694,0.8803
"2023,2024,2025",5.0,0.05,14.0,0.2,2125,0.6,0.4,5.248,13.3014,8.4694,0.8803
"2023,2024,2025",5.0,0.08,14.0,0.2,2125,0.6,0.4,5.248,13.3014,8.4694,0.8803
