years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",2.5,0.0,14.0,0.75,2125,0.7,0.3,4.9558,13.2,7.429,0.8882
"2023,2024,2025",2.5,0.0,14.0,0.1,2125,0.7,0.3,4.9574,13.1977,7.4295,0.886
"2023,2024,2025",2.5,0.05,14.0,0.1,2125,0.7,0.3,4.9576,13.1986,7.4299,0.886
"2023,2024,2025",2.5,0.05,14.0,0.75,2125,0.7,0.3,4.9574,13.202,7.4308,0.8881
"2023,2024,2025",2.5,0.0,14.0,0.5,2125,0.7,0.3,4.9596,13.2026,7.4325,0.8878
"2023,2024,2025",2.5,0.08,14.0,0.1,2125,0.7,0.3,4.9615,13.1995,7.4329,0.8858
"2023,2024,2025",2.5,0.0,14.0,1.0,2125,0.7,0.3,4.96,13.205,7.4335,0.8883
"2023,2024,2025",2.5,0.05,14.0,0.5,2125,0.7,0.3,4.9608,13.2042,7.4338,0.8878
"2023,2024,2025",2.5,0.0,14.0,0.2,2125,0.7,0.3,4.9625,13.2008,7.434,0.8868
"2023,2024,2025",2.5,0.05,14.0,0.2,2125,0.7,0.3,4.9631,13.2017,7.4347,0.8868
"2023,2024,2025",2.5,0.0,14.0,0.35,2125,0.7,0.3,4.9627,13.2034,7.4349,0.8874
"2023,2024,2025",2.5,0.08,14.0,0.75,2125,0.7,0.3,4.9627,13.2049,7.4354,0.888
"2023,2024,2025",2.5,0.05,14.0,1.0,2125,0.7,0.3,4.9618,13.2074,7.4355,0.8883
"2023,2024,2025",2.5,0.05,14.0,0.35,2125,0.7,0.3,4.9636,13.2047,7.4359,0.8874
"2023,2024,2025",2.5,0.08,14.0,0.5,2125,0.7,0.3,4.9655,13.2064,7.4377,0.8876
"2023,2024,2025",2.5,0.08,14.0,0.2,2125,0.7,0.3,4.967,13.203,7.4378,0.8867
"2023,2024,2025",2.5,0.08,14.0,0.35,2125,0.7,0.3,4.968,13.2065,7.4395,0.8872
"2023,2024,2025",2.5,0.08,14.0,1.0,2125,0.7,0.3,4.9677,13.2108,7.4407,0.8881
"2023,2024,2025",2.5,0.12,14.0,0.1,2125,0.7,0.3,4.9721,13.2016,7.441,0.8856
"2023,2024,2025",2.5,0.12,14.0,0.2,2125,0.7,0.3,4.9778,13.2055,7.4461,0.8863
"2023,2024,2025",2.5,0.12,14.0,0.75,2125,0.7,0.3,4.9771,13.2096,7.4469,0.8875
"2023,2024,2025",2.5,0.12,14.0,0.5,2125,0.7,0.3,4.978,13.2101,7.4476,0.8872
"2023,2024,2025",2.5,0.12,14.0,0.35,2125,0.7,0.3,4.9795,13.2096,7.4485,0.8869
"2023,2024,2025",2.5,0.12,14.0,1.0,2125,0.7,0.3,4.9836,13.2165,7.4535,0.8877
"2023,2024,2025",2.5,0.0,12.0,0.1,2125,0.7,0.3,5.0084,13.223,7.4728,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.1,2125,0.7,0.3,5.0085,13.2237,7.4731,0.8856
"2023,2024,2025",2.5,0.0,12.0,0.75,2125,0.7,0.3,5.0114,13.2235,7.475,0.8884
"2023,2024,2025",2.5,0.08,12.0,0.1,2125,0.7,0.3,5.0121,13.2247,7.4759,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.75,2125,0.7,0.3,5.0124,13.2254,7.4763,0.8884
"2023,2024,2025",2.5,0.0,12.0,0.2,2125,0.7,0.3,5.0134,13.2237,7.4765,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.2,2125,0.7,0.3,5.0136,13.2247,7.4769,0.8866
"2023,2024,2025",2.5,0.0,12.0,0.5,2125,0.7,0.3,5.0149,13.2251,7.478,0.8879
"2023,2024,2025",2.5,0.0,12.0,1.0,2125,0.7,0.3,5.0146,13.2285,7.4788,0.8886
"2023,2024,2025",2.5,0.05,12.0,0.5,2125,0.7,0.3,5.0157,13.2267,7.479,0.8878
"2023,2024,2025",2.5,0.0,12.0,0.35,2125,0.7,0.3,5.0168,13.2261,7.4796,0.8874
"2023,2024,2025",2.5,0.08,12.0,0.2,2125,0.7,0.3,5.0171,13.226,7.4798,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.35,2125,0.7,0.3,5.0173,13.2273,7.4803,0.8874
"2023,2024,2025",2.5,0.05,12.0,1.0,2125,0.7,0.3,5.016,13.2307,7.4804,0.8885
"2023,2024,2025",2.5,0.08,12.0,0.75,2125,0.7,0.3,5.0174,13.2283,7.4807,0.8882
"2023,2024,2025",2.5,0.08,12.0,0.5,2125,0.7,0.3,5.0199,13.2289,7.4826,0.8877
"2023,2024,2025",2.5,0.08,12.0,0.35,2125,0.7,0.3,5.0212,13.2292,7.4836,0.8873
"2023,2024,2025",2.5,0.12,12.0,0.1,2125,0.7,0.3,5.0231,13.2273,7.4844,0.8854
"2023,2024,2025",2.5,0.08,12.0,1.0,2125,0.7,0.3,5.0213,13.2342,7.4852,0.8884
"2023,2024,2025",2.5,0.12,12.0,0.2,2125,0.7,0.3,5.0286,13.2288,7.4886,0.8863
"2023,2024,2025",2.5,0.12,12.0,0.75,2125,0.7,0.3,5.0321,13.2331,7.4924,0.8878
"2023,2024,2025",2.5,0.12,12.0,0.5,2125,0.7,0.3,5.0332,13.2329,7.4931,0.8875
"2023,2024,2025",2.5,0.12,12.0,0.35,2125,0.7,0.3,5.0334,13.2325,7.4931,0.887
"2023,2024,2025",2.5,0.12,12.0,1.0,2125,0.7,0.3,5.0372,13.2396,7.4979,0.8881
"2023,2024,2025",2.5,0.05,10.0,0.1,2125,0.7,0.3,5.0651,13.2548,7.522,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.1,2125,0.7,0.3,5.0654,13.254,7.522,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.75,2125,0.7,0.3,5.0704,13.2512,7.5247,0.8884
"2023,2024,2025",2.5,0.08,10.0,0.1,2125,0.7,0.3,5.0686,13.2561,7.5248,0.8848
"2023,2024,2025",2.5,0.0,10.0,0.2,2125,0.7,0.3,5.0715,13.2516,7.5255,0.8862
"2023,2024,2025",2.5,0.05,10.0,0.2,2125,0.7,0.3,5.0712,13.2525,7.5256,0.8862
"2023,2024,2025",2.5,0.05,10.0,0.75,2125,0.7,0.3,5.0711,13.253,7.5257,0.8884
"2023,2024,2025",2.5,0.0,10.0,0.5,2125,0.7,0.3,5.0728,13.2523,7.5267,0.8877
"2023,2024,2025",2.5,0.05,10.0,0.5,2125,0.7,0.3,5.0731,13.2537,7.5273,0.8877
"2023,2024,2025",2.5,0.0,10.0,0.35,2125,0.7,0.3,5.0745,13.2528,7.528,0.8871
"2023,2024,2025",2.5,0.0,10.0,1.0,2125,0.7,0.3,5.0736,13.2562,7.5284,0.8886
"2023,2024,2025",2.5,0.05,10.0,0.35,2125,0.7,0.3,5.0745,13.254,7.5284,0.8871
"2023,2024,2025",2.5,0.08,10.0,0.2,2125,0.7,0.3,5.0746,13.2541,7.5285,0.8861
"2023,2024,2025",2.5,0.05,10.0,1.0,2125,0.7,0.3,5.0746,13.2581,7.5297,0.8886
"2023,2024,2025",2.5,0.08,10.0,0.75,2125,0.7,0.3,5.0757,13.256,7.5298,0.8883
"2023,2024,2025",2.5,0.08,10.0,0.5,2125,0.7,0.3,5.077,13.2562,7.5308,0.8876
"2023,2024,2025",2.5,0.08,10.0,0.35,2125,0.7,0.3,5.0782,13.256,7.5316,0.8871
"2023,2024,2025",2.5,0.08,10.0,1.0,2125,0.7,0.3,5.0794,13.2617,7.5341,0.8885
"2023,2024,2025",2.5,0.12,10.0,0.1,2125,0.7,0.3,5.0807,13.2589,7.5341,0.8846
"2023,2024,2025",2.5,0.12,10.0,0.2,2125,0.7,0.3,5.0874,13.2571,7.5384,0.886
"2023,2024,2025",2.5,0.12,10.0,0.5,2125,0.7,0.3,5.0916,13.26,7.5422,0.8874
"2023,2024,2025",2.5,0.12,10.0,0.35,2125,0.7,0.3,5.0919,13.2596,7.5422,0.8869
"2023,2024,2025",2.5,0.12,10.0,0.75,2125,0.7,0.3,5.0914,13.2609,7.5423,0.888
"2023,2024,2025",2.5,0.12,10.0,1.0,2125,0.7,0.3,5.0961,13.2671,7.5474,0.8882
"2023,2024,2025",4.0,0.08,14.0,0.1,2125,0.7,0.3,5.1188,13.2562,7.56,0.8834
"2023,2024,2025",4.0,0.0,14.0,0.1,2125,0.7,0.3,5.119,13.2561,7.5601,0.8834
"2023,2024,2025",4.0,0.05,14.0,0.1,2125,0.7,0.3,5.119,13.2561,7.5601,0.8834
"2023,2024,2025",4.0,0.12,14.0,0.1,2125,0.7,0.3,5.1198,13.258,7.5612,0.8834
"2023,2024,2025",4.0,0.08,14.0,0.2,2125,0.7,0.3,5.1345,13.2617,7.5727,0.8831
"2023,2024,2025",4.0,0.0,14.0,0.2,2125,0.7,0.3,5.1347,13.2615,7.5727,0.8831
"2023,2024,2025",4.0,0.05,14.0,0.2,2125,0.7,0.3,5.1347,13.2615,7.5727,0.8831
"2023,2024,2025",4.0,0.12,14.0,0.2,2125,0.7,0.3,5.1354,13.2637,7.5739,0.8831
"2023,2024,2025",2.5,0.05,8.0,0.1,2125,0.7,0.3,5.1267,13.2898,7.5756,0.8834
"2023,2024,2025",2.5,0.0,8.0,0.1,2125,0.7,0.3,5.1274,13.2889,7.5758,0.8835
"2023,2024,2025",2.5,0.0,8.0,0.75,2125,0.7,0.3,5.1325,13.2845,7.5781,0.8878
"2023,2024,2025",2.5,0.08,8.0,0.1,2125,0.7,0.3,5.13,13.2914,7.5784,0.8835
"2023,2024,2025",2.5,0.05,8.0,0.2,2125,0.7,0.3,5.132,13.2867,7.5784,0.8853
"2023,2024,2025",2.5,0.0,8.0,0.2,2125,0.7,0.3,5.1325,13.2857,7.5784,0.8852
"2023,2024,2025",2.5,0.05,8.0,0.75,2125,0.7,0.3,5.1327,13.2862,7.5787,0.8877
"2023,2024,2025",2.5,0.0,8.0,0.5,2125,0.7,0.3,5.1341,13.2855,7.5795,0.887
"2023,2024,2025",2.5,0.05,8.0,0.5,2125,0.7,0.3,5.134,13.2869,7.5798,0.887
"2023,2024,2025",2.5,0.0,8.0,0.35,2125,0.7,0.3,5.1354,13.2863,7.5806,0.8863
"2023,2024,2025",2.5,0.05,8.0,0.35,2125,0.7,0.3,5.1351,13.2874,7.5808,0.8864
"2023,2024,2025",2.5,0.08,8.0,0.2,2125,0.7,0.3,5.1353,13.2887,7.5813,0.8853
"2023,2024,2025",2.5,0.0,8.0,1.0,2125,0.7,0.3,5.1356,13.2878,7.5813,0.888
"2023,2024,2025",2.5,0.05,8.0,1.0,2125,0.7,0.3,5.1359,13.2897,7.5821,0.888
"2023,2024,2025",2.5,0.08,8.0,0.75,2125,0.7,0.3,5.1369,13.2893,7.5826,0.8877
"2023,2024,2025",2.5,0.08,8.0,0.5,2125,0.7,0.3,5.1379,13.2896,7.5834,0.8871
"2023,2024,2025",2.5,0.08,8.0,0.35,2125,0.7,0.3,5.1386,13.2898,7.584,0.8864
"2023,2024,2025",2.5,0.08,8.0,1.0,2125,0.7,0.3,5.1404,13.2931,7.5862,0.8879
"2023,2024,2025",4.0,0.08,14.0,0.35,2125,0.7,0.3,5.1528,13.2678,7.5873,0.883
"2023,2024,2025",4.0,0.05,14.0,0.35,2125,0.7,0.3,5.1529,13.2676,7.5873,0.883
"2023,2024,2025",4.0,0.0,14.0,0.35,2125,0.7,0.3,5.1529,13.2676,7.5874,0.883
"2023,2024,2025",4.0,0.12,14.0,0.35,2125,0.7,0.3,5.1539,13.2702,7.5888,0.883
"2023,2024,2025",2.5,0.12,8.0,0.1,2125,0.7,0.3,5.1439,13.295,7.5893,0.8835
"2023,2024,2025",2.5,0.12,8.0,0.2,2125,0.7,0.3,5.1499,13.2923,7.5926,0.8852
"2023,2024,2025",4.0,0.0,14.0,0.5,2125,0.7,0.3,5.1609,13.2693,7.5934,0.8829
"2023,2024,2025",4.0,0.05,14.0,0.5,2125,0.7,0.3,5.1609,13.2693,7.5934,0.8829
"2023,2024,2025",4.0,0.08,14.0,0.5,2125,0.7,0.3,5.1609,13.2695,7.5934,0.8829
"2023,2024,2025",4.0,0.12,14.0,0.5,2125,0.7,0.3,5.1621,13.2724,7.5952,0.8829
"2023,2024,2025",2.5,0.12,8.0,0.5,2125,0.7,0.3,5.154,13.2937,7.5959,0.8868
"2023,2024,2025",2.5,0.12,8.0,0.35,2125,0.7,0.3,5.1541,13.2936,7.5959,0.8863
"2023,2024,2025",2.5,0.12,8.0,0.75,2125,0.7,0.3,5.1541,13.2942,7.5961,0.8875
"2023,2024,2025",2.5,0.12,8.0,1.0,2125,0.7,0.3,5.1584,13.2988,7.6005,0.8878
"2023,2024,2025",4.0,0.0,14.0,0.75,2125,0.7,0.3,5.1708,13.2722,7.6012,0.8828
"2023,2024,2025",4.0,0.05,14.0,0.75,2125,0.7,0.3,5.1708,13.2722,7.6012,0.8828
"2023,2024,2025",4.0,0.08,14.0,0.75,2125,0.7,0.3,5.1709,13.2724,7.6013,0.8828
"2023,2024,2025",4.0,0.12,14.0,0.75,2125,0.7,0.3,5.1726,13.2761,7.6037,0.8828
"2023,2024,2025",4.0,0.0,14.0,1.0,2125,0.7,0.3,5.1839,13.2811,7.6131,0.8826
"2023,2024,2025",4.0,0.05,14.0,1.0,2125,0.7,0.3,5.1839,13.2811,7.6131,0.8826
"2023,2024,2025",4.0,0.08,14.0,1.0,2125,0.7,0.3,5.184,13.2813,7.6132,0.8826
"2023,2024,2025",4.0,0.12,14.0,1.0,2125,0.7,0.3,5.1865,13.2856,7.6162,0.8825
"2023,2024,2025",4.0,0.08,12.0,0.1,2125,0.7,0.3,5.1971,13.2941,7.6262,0.8838
"2023,2024,2025",4.0,0.0,12.0,0.1,2125,0.7,0.3,5.1974,13.2938,7.6263,0.8838
"2023,2024,2025",4.0,0.05,12.0,0.1,2125,0.7,0.3,5.1974,13.2938,7.6263,0.8838
"2023,2024,2025",4.0,0.12,12.0,0.1,2125,0.7,0.3,5.1978,13.296,7.6273,0.8838
"2023,2024,2025",4.0,0.08,12.0,0.2,2125,0.7,0.3,5.2133,13.296,7.6381,0.8839
"2023,2024,2025",4.0,0.0,12.0,0.2,2125,0.7,0.3,5.2135,13.2958,7.6382,0.8839
