team,conference,rating,schedule_games,expected_games,missing_games,status
Georgia State,Sun Belt,-7.12,12,12,0,complete
James Madison,Sun Belt,5.99,12,12,0,complete
Louisiana,Sun Belt,-4.42,12,12,0,complete
Louisiana Tech,Sun Belt,-8.02,12,12,0,complete
Marshall,Sun Belt,-4.99,12,12,0,complete
Old Dominion,Sun Belt,-8.31,12,12,0,complete
South Alabama,Sun Belt,-5.3,12,12,0,complete
Southern Miss,Sun Belt,-16.66,12,12,0,complete
Troy,Sun Belt,-5.31,12,12,0,complete
UL Monroe,Sun Belt,-14.65,12,12,0,complete
