week,team,opponent,site,team_rating,opponent_rating,projected_spread,favorite,favorite_spread,win_probability
5,Notre Dame,North Carolina,away,23.71,-5.52,26.73,Notre Dame,26.73,0.9526
6,Notre Dame,Stanford,home,23.71,-8.78,34.99,Notre Dame,34.99,0.9856
7,Notre Dame,BYU,away,23.71,8.21,13.0,Notre Dame,13.0,0.7917
9,Notre Dame,Navy,neutral,23.71,0.98,22.73,Notre Dame,22.73,0.9223
10,Notre Dame,Miami,home,23.71,21.21,5.0,Notre Dame,5.0,0.6227
11,Notre Dame,Boston College,home,23.71,-5.86,32.07,Notre Dame,32.07,0.9775
12,Notre Dame,SMU,home,23.71,10.46,15.75,Notre Dame,15.75,0.8375
13,Notre Dame,Syracuse,away,23.71,-5.03,26.24,Notre Dame,26.24,0.9495
1,Ohio,Nebraska,away,-2.05,10.01,-14.56,Nebraska,14.56,0.1814
2,Ohio,Jacksonville State,home,-2.05,-8.54,8.99,Ohio,8.99,0.7129
3,Ohio,South Alabama,away,-2.05,-9.24,4.69,Ohio,4.69,0.6153
4,Ohio,Stonehill (FCS baseline),home,-2.05,-18.0,18.45,Ohio,18.45,0.8756
5,Ohio,Kent State,away,-2.05,-25.57,21.02,Ohio,21.02,0.9055
6,Ohio,Central Michigan,home,-2.05,-12.93,13.38,Ohio,13.38,0.7985
7,Ohio,Sacramento State (unrated FBS baseline),away,-2.05,-12.0,7.45,Ohio,7.45,0.6793
8,Ohio,Eastern Michigan,home,-2.05,-13.09,13.54,Ohio,13.54,0.8013
10,Ohio,Akron,away,-2.05,-21.45,16.9,Ohio,16.9,0.8546
11,Ohio,Miami (OH),away,-2.05,-5.8,1.25,Ohio,1.25,0.5311
12,Ohio,Ball State,home,-2.05,-22.17,22.62,Ohio,22.62,0.9213
13,Ohio,Toledo,home,-2.05,0.68,-0.23,Toledo,0.23,0.4943
1,Ohio State,Ball State,home,27.84,-22.17,52.51,Ohio State,52.51,0.9995
2,Ohio State,Texas,away,27.84,18.63,6.71,Ohio State,6.71,0.6625
3,Ohio State,Kent State,home,27.84,-25.57,55.91,Ohio State,55.91,0.9998
4,Ohio State,Illinois,home,27.84,8.5,21.84,Ohio State,21.84,0.9139
5,Ohio State,Iowa,away,27.84,14.2,11.14,Ohio State,11.14,0.7569
6,Ohio State,Maryland,home,27.84,0.42,29.92,Ohio State,29.92,0.9693
7,Ohio State,Indiana,away,27.84,23.9,1.44,Ohio State,1.44,0.5359
9,Ohio State,USC,away,27.84,17.94,7.4,Ohio State,7.4,0.6781
10,Ohio State,Oregon,home,27.84,26.55,3.79,Ohio State,3.79,0.5936
11,Ohio State,Northwestern,home,27.84,0.2,30.14,Ohio State,30.14,0.9702
12,Ohio State,Nebraska,away,27.84,10.01,15.33,Ohio State,15.33,0.831
13,Ohio State,Michigan,home,27.84,14.64,15.7,Ohio State,15.7,0.8368
1,Oklahoma,UTEP,home,17.34,-12.66,32.5,Oklahoma,32.5,0.9789
2,Oklahoma,Michigan,away,17.34,14.64,0.2,Oklahoma,0.2,0.505
3,Oklahoma,New Mexico,home,17.34,-5.44,25.28,Oklahoma,25.28,0.9429
4,Oklahoma,Georgia,away,17.34,23.69,-8.85,Georgia,8.85,0.2901
6,Oklahoma,Texas,neutral,17.34,18.63,-1.29,Texas,1.29,0.4679
7,Oklahoma,Kentucky,home,17.34,6.79,13.05,Oklahoma,13.05,0.7926
8,Oklahoma,Mississippi State,away,17.34,4.78,10.06,Oklahoma,10.06,0.7352
9,Oklahoma,South Carolina,home,17.34,10.15,9.69,Oklahoma,9.69,0.7276
10,Oklahoma,Florida,away,17.34,10.73,4.11,Oklahoma,4.11,0.6014
11,Oklahoma,Ole Miss,home,17.34,18.57,1.27,Oklahoma,1.27,0.5316
12,Oklahoma,Texas A&M,home,17.34,21.08,-1.24,Texas A&M,1.24,0.4691
13,Oklahoma,Missouri,away,17.34,12.97,1.87,Oklahoma,1.87,0.5465
1,Oklahoma State,Tulsa,away,-15.83,-14.2,-4.13,Tulsa,4.13,0.3982
2,Oklahoma State,Oregon,home,-15.83,26.55,-39.88,Oregon,39.88,0.0063
3,Oklahoma State,Murray State (FCS baseline),home,-15.83,-18.0,4.67,Oklahoma State,4.67,0.6148
4,Oklahoma State,West Virginia,away,-15.83,-3.99,-14.34,West Virginia,14.34,0.1851
6,Oklahoma State,UCF,home,-15.83,0.08,-13.41,UCF,13.41,0.201
7,Oklahoma State,Houston,away,-15.83,1.01,-19.34,Houston,19.34,0.1134
8,Oklahoma State,Colorado,home,-15.83,-0.21,-13.12,Colorado,13.12,0.2061
9,Oklahoma State,Iowa State,away,-15.83,3.54,-21.87,Iowa State,21.87,0.0858
10,Oklahoma State,Kansas State,away,-15.83,7.43,-25.76,Kansas State,25.76,0.0537
11,Oklahoma State,Texas Tech,home,-15.83,17.8,-31.13,Texas Tech,31.13,0.0258
12,Oklahoma State,Arizona State,away,-15.83,5.67,-24.0,Arizona State,24.0,0.0668
13,Oklahoma State,Kansas,home,-15.83,6.17,-19.5,Kansas,19.5,0.1115
1,Old Dominion,Norfolk State (FCS baseline),home,2.02,-18.0,22.52,Old Dominion,22.52,0.9204
2,Old Dominion,Virginia Tech,away,2.02,-1.97,1.49,Old Dominion,1.49,0.5371
3,Old Dominion,East Carolina,home,2.02,-1.07,5.59,Old Dominion,5.59,0.6366
4,Old Dominion,James Madison,home,2.02,8.29,-3.77,James Madison,3.77,0.4069
5,Old Dominion,Georgia State,away,2.02,-13.8,13.32,Old Dominion,13.32,0.7974
6,Old Dominion,App State,away,2.02,-9.22,8.74,Old Dominion,8.74,0.7076
7,Old Dominion,Georgia Southern,home,2.02,-9.18,13.7,Old Dominion,13.7,0.8041
8,Old Dominion,Louisiana Tech,away,2.02,-8.08,7.6,Old Dominion,7.6,0.6826
9,Old Dominion,Marshall,home,2.02,-4.97,9.49,Old Dominion,9.49,0.7235
10,Old Dominion,Coastal Carolina,away,2.02,-12.42,11.94,Old Dominion,11.94,0.7722
12,Old Dominion,UConn,away,2.02,-4.98,4.5,Old Dominion,4.5,0.6107
13,Old Dominion,Southern Miss,home,2.02,-4.5,9.02,Old Dominion,9.02,0.7135
1,Ole Miss,Louisville,neutral,18.57,11.0,7.57,Ole Miss,7.57,0.6819
2,Ole Miss,Charlotte,home,18.57,-20.32,41.39,Ole Miss,41.39,0.9952
3,Ole Miss,LSU,home,18.57,13.13,7.94,Ole Miss,7.94,0.6901
4,Ole Miss,Florida,away,18.57,10.73,5.34,Ole Miss,5.34,0.6307
6,Ole Miss,Vanderbilt,away,18.57,13.24,2.83,Ole Miss,2.83,0.5702
7,Ole Miss,Missouri,home,18.57,12.97,8.1,Ole Miss,8.1,0.6937
8,Ole Miss,Texas,away,18.57,18.63,-2.56,Texas,2.56,0.4364
9,Ole Miss,Auburn,home,18.57,12.61,8.46,Ole Miss,8.46,0.7015
10,Ole Miss,Georgia,home,18.57,23.69,-2.62,Georgia,2.62,0.435
11,Ole Miss,Oklahoma,away,18.57,17.34,-1.27,Oklahoma,1.27,0.4684
12,Ole Miss,Wofford (FCS baseline),home,18.57,-18.0,39.07,Ole Miss,39.07,0.9927
13,Ole Miss,Mississippi State,home,18.57,4.78,16.29,Ole Miss,16.29,0.8457
1,Oregon,Boise State,home,26.55,5.3,23.75,Oregon,23.75,0.9311
2,Oregon,Oklahoma State,away,26.55,-15.83,39.88,Oregon,39.88,0.9937
3,Oregon,Portland State (FCS baseline),home,26.55,-18.0,47.05,Oregon,47.05,0.9984
4,Oregon,USC,away,26.55,17.94,6.11,Oregon,6.11,0.6487
6,Oregon,UCLA,home,26.55,0.51,28.54,Oregon,28.54,0.9628
7,Oregon,Nebraska,home,26.55,10.01,19.04,Oregon,19.04,0.883
8,Oregon,Illinois,away,26.55,8.5,15.55,Oregon,15.55,0.8344
9,Oregon,Northwestern,home,26.55,0.2,28.85,Oregon,28.85,0.9643
10,Oregon,Ohio State,away,26.55,27.84,-3.79,Ohio State,3.79,0.4064
11,Oregon,Michigan,home,26.55,14.64,14.41,Oregon,14.41,0.8161
12,Oregon,Michigan State,away,26.55,1.96,22.09,Oregon,22.09,0.9163
13,Oregon,Washington,home,26.55,10.57,18.48,Oregon,18.48,0.876
1,Oregon State,Houston,away,-8.31,1.01,-11.82,Houston,11.82,0.23
2,Oregon State,Texas Tech,home,-8.31,17.8,-23.61,Texas Tech,23.61,0.07
3,Oregon State,Montana (FCS baseline),home,-8.31,-18.0,12.19,Oregon State,12.19,0.7769
4,Oregon State,UTEP,away,-8.31,-12.66,1.85,Oregon State,1.85,0.546
5,Oregon State,Colorado State,away,-8.31,-8.04,-2.77,Colorado State,2.77,0.4313
6,Oregon State,San Diego State,home,-8.31,-1.36,-4.45,San Diego State,4.45,0.3905
7,Oregon State,Washington State,home,-8.31,-4.21,-1.6,Washington State,1.6,0.4602
9,Oregon State,Fresno State,away,-8.31,-5.91,-4.9,Fresno State,4.9,0.3797
10,Oregon State,Texas State,home,-8.31,-0.75,-5.06,Texas State,5.06,0.3759
11,Oregon State,Boise State,away,-8.31,5.3,-16.11,Boise State,16.11,0.157
12,Oregon State,Utah State,home,-8.31,-7.03,1.22,Oregon State,1.22,0.5304
1,Penn State,Marshall,home,17.74,-4.97,25.21,Penn State,25.21,0.9424
2,Penn State,Temple,away,17.74,-11.33,26.57,Penn State,26.57,0.9516
3,Penn State,Buffalo,home,17.74,-9.82,30.06,Penn State,30.06,0.9699
4,Penn State,Wisconsin,home,17.74,3.95,16.29,Penn State,16.29,0.8457
5,Penn State,Northwestern,away,17.74,0.2,15.04,Penn State,15.04,0.8264
6,Penn State,USC,home,17.74,17.94,2.3,Penn State,2.3,0.5572
7,Penn State,Michigan,away,17.74,14.64,0.6,Penn State,0.6,0.515
9,Penn State,Purdue,home,17.74,-0.92,21.16,Penn State,21.16,0.907
10,Penn State,Washington,away,17.74,10.57,4.67,Penn State,4.67,0.6148
11,Penn State,Minnesota,home,17.74,0.77,19.47,Penn State,19.47,0.8882
12,Penn State,Rutgers,home,17.74,2.19,18.05,Penn State,18.05,0.8704
13,Penn State,Maryland,away,17.74,0.42,14.82,Penn State,14.82,0.8228
1,Pittsburgh,Miami (OH),home,5.62,-5.8,13.92,Pittsburgh,13.92,0.8078
2,Pittsburgh,UCF,home,5.62,0.08,8.04,Pittsburgh,8.04,0.6923
3,Pittsburgh,Syracuse,home,5.62,-5.03,13.15,Pittsburgh,13.15,0.7944
4,Pittsburgh,Bucknell (FCS baseline),home,5.62,-18.0,26.12,Pittsburgh,26.12,0.9487
5,Pittsburgh,Virginia Tech,away,5.62,-1.97,5.09,Pittsburgh,5.09,0.6248
6,Pittsburgh,North Carolina,home,5.62,-5.52,13.64,Pittsburgh,13.64,0.803
7,Pittsburgh,Boston College,away,5.62,-5.86,8.98,Pittsburgh,8.98,0.7127
8,Pittsburgh,Miami,away,5.62,21.21,-18.09,Miami,18.09,0.1291
9,Pittsburgh,Georgia Tech,home,5.62,7.05,1.07,Pittsburgh,1.07,0.5267
11,Pittsburgh,Florida State,home,5.62,7.9,0.22,Pittsburgh,0.22,0.5055
12,Pittsburgh,Louisville,away,5.62,11.0,-7.88,Louisville,7.88,0.3112
13,Pittsburgh,California,away,5.62,-2.39,5.51,Pittsburgh,5.51,0.6347
1,Purdue,Indiana State (FCS baseline),home,-0.92,-18.0,19.58,Purdue,19.58,0.8895
2,Purdue,Wake Forest,home,-0.92,-2.7,4.28,Purdue,4.28,0.6055
3,Purdue,UCLA,away,-0.92,0.51,-3.93,UCLA,3.93,0.403
4,Purdue,Notre Dame,home,-0.92,23.71,-22.13,Notre Dame,22.13,0.0833
5,Purdue,Illinois,away,-0.92,8.5,-11.92,Illinois,11.92,0.2281
6,Purdue,Minnesota,home,-0.92,0.77,0.81,Purdue,0.81,0.5202
7,Purdue,Washington,home,-0.92,10.57,-8.99,Washington,8.99,0.2871
9,Purdue,Penn State,away,-0.92,17.74,-21.16,Penn State,21.16,0.093
10,Purdue,Maryland,home,-0.92,0.42,1.16,Purdue,1.16,0.5289
11,Purdue,Iowa,away,-0.92,14.2,-17.62,Iowa,17.62,0.1354
12,Purdue,Wisconsin,home,-0.92,3.95,-2.37,Wisconsin,2.37,0.4411
13,Purdue,Indiana,away,-0.92,23.9,-27.32,Indiana,27.32,0.0439
1,Rice,Houston Christian (FCS baseline),home,-12.69,-18.0,7.81,Rice,7.81,0.6873
2,Rice,Notre Dame,away,-12.69,23.71,-38.9,Notre Dame,38.9,0.0075
3,Rice,Western Michigan,home,-12.69,-8.82,-1.37,Western Michigan,1.37,0.4659
4,Rice,Fresno State,away,-12.69,-5.91,-9.28,Fresno State,9.28,0.281
5,Rice,UTSA,home,-12.69,-1.5,-8.69,UTSA,8.69,0.2935
6,Rice,East Carolina,away,-12.69,-1.07,-14.12,East Carolina,14.12,0.1888
7,Rice,Tulsa,home,-12.69,-14.2,4.01,Rice,4.01,0.5989
8,Rice,Florida Atlantic,away,-12.69,-12.25,-2.94,Florida Atlantic,2.94,0.4271
10,Rice,North Texas,away,-12.69,4.44,-19.63,North Texas,19.63,0.1099
11,Rice,Tulane,home,-12.69,4.35,-14.54,Tulane,14.54,0.1817
12,Rice,Temple,away,-12.69,-11.33,-3.86,Temple,3.86,0.4047
13,Rice,Army,home,-12.69,-6.67,-3.52,Army,3.52,0.4129
1,Rutgers,Massachusetts,home,2.19,-27.03,31.72,Rutgers,31.72,0.9763
2,Rutgers,Boston College,away,2.19,-5.86,5.55,Rutgers,5.55,0.6357
3,Rutgers,USC,home,2.19,17.94,-13.25,USC,13.25,0.2038
4,Rutgers,Howard (FCS baseline),home,2.19,-18.0,22.69,Rutgers,22.69,0.9219
5,Rutgers,Indiana,home,2.19,23.9,-19.21,Indiana,19.21,0.1149
7,Rutgers,Maryland,away,2.19,0.42,-0.73,Maryland,0.73,0.4818
8,Rutgers,Northwestern,away,2.19,0.2,-0.51,Northwestern,0.51,0.4873
9,Rutgers,Michigan,home,2.19,14.64,-9.95,Michigan,9.95,0.267
10,Rutgers,Wisconsin,away,2.19,3.95,-4.26,Wisconsin,4.26,0.395
11,Rutgers,Nebraska,home,2.19,10.01,-5.32,Nebraska,5.32,0.3698
12,Rutgers,Penn State,away,2.19,17.74,-18.05,Penn State,18.05,0.1296
13,Rutgers,Michigan State,home,2.19,1.96,2.73,Rutgers,2.73,0.5677
1,SMU,Florida State,away,10.46,7.9,0.06,SMU,0.06,0.5015
2,SMU,UC Davis (FCS baseline),home,10.46,-18.0,30.96,SMU,30.96,0.9735
3,SMU,Louisville,away,10.46,11.0,-3.04,Louisville,3.04,0.4247
4,SMU,Missouri State,home,10.46,-12.47,25.43,SMU,25.43,0.944
5,SMU,Boston College,home,10.46,-5.86,18.82,SMU,18.82,0.8803
7,SMU,Virginia,home,10.46,3.43,9.53,SMU,9.53,0.7243
8,SMU,California,home,10.46,-2.39,15.35,SMU,15.35,0.8313
9,SMU,Syracuse,away,10.46,-5.03,12.99,SMU,12.99,0.7916
10,SMU,Virginia Tech,home,10.46,-1.97,14.93,SMU,14.93,0.8246
11,SMU,Wake Forest,home,10.46,-2.7,15.66,SMU,15.66,0.8361
12,SMU,Notre Dame,away,10.46,23.71,-15.75,Notre Dame,15.75,0.1625
13,SMU,Stanford,away,10.46,-8.78,16.74,SMU,16.74,0.8523
1,Sam Houston,Troy,away,-18.36,-8.14,-12.72,Troy,12.72,0.2133
2,Sam Houston,Tulsa,home,-18.36,-14.2,-1.66,Tulsa,1.66,0.4587
3,Sam Houston,Nicholls (FCS baseline),home,-18.36,-18.0,2.14,Sam Houston,2.14,0.5532
4,Sam Houston,Texas Tech,away,-18.36,17.8,-38.66,Texas Tech,38.66,0.0078
6,Sam Houston,Liberty,away,-18.36,-3.45,-17.41,Liberty,17.41,0.1383
7,Sam Houston,Western Kentucky,home,-18.36,-7.07,-8.79,Western Kentucky,8.79,0.2914
8,Sam Houston,New Mexico State,home,-18.36,-17.35,1.49,Sam Houston,1.49,0.5371
9,Sam Houston,Missouri State,away,-18.36,-12.47,-8.39,Missouri State,8.39,0.3
10,Sam Houston,Jacksonville State,away,-18.36,-8.54,-12.32,Jacksonville State,12.32,0.2206
11,Sam Houston,Kennesaw State,home,-18.36,-8.18,-7.68,Kennesaw State,7.68,0.3156
12,Sam Houston,Middle Tennessee,home,-18.36,-13.13,-2.73,Middle Tennessee,2.73,0.4323
13,Sam Houston,Florida International,away,-18.36,-9.82,-11.04,Florida International,11.04,0.2451
1,San Diego State,Portland State (FCS baseline),home,-1.36,-18.0,19.14,San Diego State,19.14,0.8842
2,San Diego State,UCLA,away,-1.36,0.51,-4.37,UCLA,4.37,0.3924
3,San Diego State,James Madison,home,-1.36,8.29,-7.15,James Madison,7.15,0.3275
4,San Diego State,Toledo,away,-1.36,0.68,-4.54,Toledo,4.54,0.3883
5,San Diego State,Texas State,home,-1.36,-0.75,1.89,San Diego State,1.89,0.547
6,San Diego State,Oregon State,away,-1.36,-8.31,4.45,San Diego State,4.45,0.6095
7,San Diego State,Fresno State,home,-1.36,-5.91,7.05,San Diego State,7.05,0.6703
8,San Diego State,Colorado State,away,-1.36,-8.04,4.18,San Diego State,4.18,0.6031
9,San Diego State,Washington State,home,-1.36,-4.21,5.35,San Diego State,5.35,0.631
11,San Diego State,Utah State,home,-1.36,-7.03,8.17,San Diego State,8.17,0.6952
12,San Diego State,Boise State,away,-1.36,5.3,-9.16,Boise State,9.16,0.2835
1,San José State,Eastern Michigan,away,-6.54,-13.09,4.05,San José State,4.05,0.5999
1,San José State,USC,away,-6.54,17.94,-26.98,USC,26.98,0.0459
2,San José State,Cal Poly (FCS baseline),home,-6.54,-18.0,13.96,San José State,13.96,0.8085
3,San José State,Fresno State,home,-6.54,-5.91,1.87,San José State,1.87,0.5465
5,San José State,Hawai'i,away,-6.54,-6.15,-2.89,Hawai'i,2.89,0.4283
6,San José State,Wyoming,home,-6.54,-7.1,3.06,San José State,3.06,0.5758
7,San José State,UTEP,away,-6.54,-12.66,3.62,San José State,3.62,0.5895
8,San José State,Nevada,away,-6.54,-12.08,3.04,San José State,3.04,0.5753
9,San José State,New Mexico,home,-6.54,-5.44,1.4,San José State,1.4,0.5349
10,San José State,Northern Illinois,home,-6.54,-14.94,10.9,San José State,10.9,0.7521
11,San José State,Air Force,away,-6.54,-7.59,-1.45,Air Force,1.45,0.4639
12,San José State,UNLV,home,-6.54,0.52,-4.56,UNLV,4.56,0.3878
13,San José State,North Dakota State (unrated FBS baseline),home,-6.54,-12.0,7.96,San José State,7.96,0.6906
1,South Alabama,SE Louisiana (FCS baseline),home,-9.24,-18.0,11.26,South Alabama,11.26,0.7592
2,South Alabama,Tulane,away,-9.24,4.35,-16.09,Tulane,16.09,0.1573
3,South Alabama,Ohio,home,-9.24,-2.05,-4.69,Ohio,4.69,0.3847
4,South Alabama,Kentucky,away,-9.24,6.79,-18.53,Kentucky,18.53,0.1234
5,South Alabama,UL Monroe,home,-9.24,-17.09,10.35,South Alabama,10.35,0.7411
6,South Alabama,Arkansas State,away,-9.24,-12.06,0.32,South Alabama,0.32,0.508
8,South Alabama,Marshall,away,-9.24,-4.97,-6.77,Marshall,6.77,0.3361
9,South Alabama,Louisiana Tech,home,-9.24,-8.08,1.34,South Alabama,1.34,0.5334
10,South Alabama,Louisiana,away,-9.24,-10.25,-1.49,Louisiana,1.49,0.4629
11,South Alabama,Troy,home,-9.24,-8.14,1.4,South Alabama,1.4,0.5349
12,South Alabama,Southern Miss,away,-9.24,-4.5,-7.24,Southern Miss,7.24,0.3255
13,South Alabama,App State,home,-9.24,-9.22,2.48,South Alabama,2.48,0.5616
1,South Carolina,Kent State,home,10.15,-25.57,38.22,South Carolina,38.22,0.9915
2,South Carolina,Towson (FCS baseline),home,10.15,-18.0,30.65,South Carolina,30.65,0.9723
3,South Carolina,Mississippi State,home,10.15,4.78,7.87,South Carolina,7.87,0.6886
4,South Carolina,Alabama,away,10.15,22.02,-14.37,Alabama,14.37,0.1846
5,South Carolina,Kentucky,home,10.15,6.79,5.86,South Carolina,5.86,0.6429
6,South Carolina,Florida,away,10.15,10.73,-3.08,Florida,3.08,0.4237
8,South Carolina,Tennessee,home,10.15,15.49,-2.84,Tennessee,2.84,0.4296
9,South Carolina,Oklahoma,away,10.15,17.34,-9.69,Oklahoma,9.69,0.2724
10,South Carolina,Texas A&M,home,10.15,21.08,-8.43,Texas A&M,8.43,0.2991
11,South Carolina,Arkansas,away,10.15,11.29,-3.64,Arkansas,3.64,0.41
12,South Carolina,Georgia,home,10.15,23.69,-11.04,Georgia,11.04,0.2451
13,South Carolina,Clemson,away,10.15,12.8,-5.15,Clemson,5.15,0.3738
1,South Florida,Florida International,home,6.33,-9.82,18.65,South Florida,18.65,0.8781
2,South Florida,Army,away,6.33,-6.67,10.5,South Florida,10.5,0.7442
3,South Florida,Delaware State (FCS baseline),home,6.33,-18.0,26.83,South Florida,26.83,0.9532
4,South Florida,Bowling Green,away,6.33,-13.81,17.64,South Florida,17.64,0.8649
5,South Florida,Temple,home,6.33,-11.33,20.16,South Florida,20.16,0.8962
6,South Florida,UTSA,away,6.33,-1.5,5.33,South Florida,5.33,0.6305
7,South Florida,Kent State,home,6.33,-25.57,34.4,South Florida,34.4,0.9842
9,South Florida,UAB,home,6.33,-14.46,23.29,South Florida,23.29,0.9273
10,South Florida,East Carolina,away,6.33,-1.07,4.9,South Florida,4.9,0.6203
11,South Florida,Memphis,home,6.33,1.94,6.89,South Florida,6.89,0.6666
12,South Florida,Florida Atlantic,away,6.33,-12.25,16.08,South Florida,16.08,0.8426
13,South Florida,Tulane,home,6.33,4.35,4.48,South Florida,4.48,0.6103
1,Southern Miss,Alcorn State (FCS baseline),home,-4.5,-18.0,16.0,Southern Miss,16.0,0.8413
2,Southern Miss,Auburn,away,-4.5,12.61,-19.61,Auburn,19.61,0.1102
3,Southern Miss,UConn,home,-4.5,-4.98,2.98,Southern Miss,2.98,0.5739
4,Southern Miss,Tulane,away,-4.5,4.35,-11.35,Tulane,11.35,0.239
6,Southern Miss,Troy,away,-4.5,-8.14,1.14,Southern Miss,1.14,0.5284
7,Southern Miss,Arkansas State,home,-4.5,-12.06,10.06,Southern Miss,10.06,0.7352
8,Southern Miss,Louisiana,home,-4.5,-10.25,8.25,Southern Miss,8.25,0.6969
9,Southern Miss,UL Monroe,away,-4.5,-17.09,10.09,Southern Miss,10.09,0.7359
10,Southern Miss,James Madison,home,-4.5,8.29,-10.29,James Madison,10.29,0.2601
11,Southern Miss,Louisiana Tech,away,-4.5,-8.08,1.08,Southern Miss,1.08,0.5269
12,Southern Miss,South Alabama,home,-4.5,-9.24,7.24,Southern Miss,7.24,0.6745
13,Southern Miss,Old Dominion,away,-4.5,2.02,-9.02,Old Dominion,9.02,0.2865
1,Stanford,Hawai'i,home,-8.78,-6.15,-0.13,Hawai'i,0.13,0.4968
1,Stanford,Miami,home,-8.78,21.21,-27.49,Miami,27.49,0.0429
3,Stanford,Duke,away,-8.78,4.34,-15.62,Duke,15.62,0.1645
4,Stanford,Georgia Tech,home,-8.78,7.05,-13.33,Georgia Tech,13.33,0.2024
5,Stanford,Wake Forest,away,-8.78,-2.7,-8.58,Wake Forest,8.58,0.2959
6,Stanford,Notre Dame,away,-8.78,23.71,-34.99,Notre Dame,34.99,0.0144
7,Stanford,Elon (FCS baseline),home,-8.78,-18.0,11.72,Stanford,11.72,0.7681
8,Stanford,NC State,home,-8.78,2.48,-8.76,NC State,8.76,0.292
9,Stanford,Louisville,away,-8.78,11.0,-22.28,Louisville,22.28,0.0819
11,Stanford,Virginia Tech,away,-8.78,-1.97,-9.31,Virginia Tech,9.31,0.2803
12,Stanford,California,away,-8.78,-2.39,-8.89,California,8.89,0.2892
13,Stanford,SMU,home,-8.78,10.46,-16.74,SMU,16.74,0.1477
1,Syracuse,New Hampshire (FCS baseline),home,-5.03,-18.0,15.47,Syracuse,15.47,0.8332
2,Syracuse,California,home,-5.03,-2.39,-0.14,California,0.14,0.4965
3,Syracuse,Pittsburgh,away,-5.03,5.62,-13.15,Pittsburgh,13.15,0.2056
5,Syracuse,UConn,away,-5.03,-4.98,-2.55,UConn,2.55,0.4367
6,Syracuse,Virginia,away,-5.03,3.43,-10.96,Virginia,10.96,0.2467
7,Syracuse,Louisville,home,-5.03,11.0,-13.53,Louisville,13.53,0.1989
8,Syracuse,North Carolina,away,-5.03,-5.52,-2.01,North Carolina,2.01,0.45
9,Syracuse,SMU,home,-5.03,10.46,-12.99,SMU,12.99,0.2084
10,Syracuse,Clemson,home,-5.03,12.8,-15.33,Clemson,15.33,0.169
11,Syracuse,NC State,away,-5.03,2.48,-10.01,NC State,10.01,0.2658
12,Syracuse,Boston College,away,-5.03,-5.86,-1.67,Boston College,1.67,0.4584
13,Syracuse,Notre Dame,home,-5.03,23.71,-26.24,Notre Dame,26.24,0.0505
1,TCU,North Carolina,neutral,9.87,-5.52,15.39,TCU,15.39,0.8319
2,TCU,Grambling (FCS baseline),home,9.87,-18.0,30.37,TCU,30.37,0.9712
3,TCU,Arkansas State,home,9.87,-12.06,24.43,TCU,24.43,0.9366
4,TCU,UCF,away,9.87,0.08,7.29,TCU,7.29,0.6757
5,TCU,BYU,home,9.87,8.21,4.16,TCU,4.16,0.6026
7,TCU,Baylor,away,9.87,7.36,0.01,TCU,0.01,0.5002
8,TCU,West Virginia,home,9.87,-3.99,16.36,TCU,16.36,0.8467
9,TCU,Kansas,home,9.87,6.17,6.2,TCU,6.2,0.6508
10,TCU,Arizona,away,9.87,3.61,3.76,TCU,3.76,0.5929
11,TCU,Kansas State,home,9.87,7.43,4.94,TCU,4.94,0.6212
12,TCU,Utah,home,9.87,15.03,-2.66,Utah,2.66,0.434
13,TCU,Texas Tech,away,9.87,17.8,-10.43,Texas Tech,10.43,0.2572
1,Temple,Rhode Island (FCS baseline),home,-11.33,-18.0,9.17,Temple,9.17,0.7167
2,Temple,Penn State,home,-11.33,17.74,-26.57,Penn State,26.57,0.0484
3,Temple,Toledo,away,-11.33,0.68,-14.51,Toledo,14.51,0.1822
4,Temple,Army,home,-11.33,-6.67,-2.16,Army,2.16,0.4463
5,Temple,South Florida,away,-11.33,6.33,-20.16,South Florida,20.16,0.1038
6,Temple,UConn,home,-11.33,-4.98,-3.85,UConn,3.85,0.4049
7,Temple,Charlotte,home,-11.33,-20.32,11.49,Temple,11.49,0.7637
9,Temple,East Carolina,away,-11.33,-1.07,-12.76,East Carolina,12.76,0.2126
10,Temple,Navy,away,-11.33,0.98,-14.81,Navy,14.81,0.1773
11,Temple,UAB,home,-11.33,-14.46,5.63,Temple,5.63,0.6375
12,Temple,Rice,home,-11.33,-12.69,3.86,Temple,3.86,0.5953
13,Temple,Memphis,away,-11.33,1.94,-15.77,Memphis,15.77,0.1622
1,Tennessee,Furman (FCS baseline),home,15.49,-18.0,35.99,Tennessee,35.99,0.9878
2,Tennessee,Georgia Tech,away,15.49,7.05,5.94,Tennessee,5.94,0.6448
3,Tennessee,Kennesaw State,home,15.49,-8.18,26.17,Tennessee,26.17,0.949
4,Tennessee,Texas,home,15.49,18.63,-0.64,Texas,0.64,0.484
5,Tennessee,Auburn,home,15.49,12.61,5.38,Tennessee,5.38,0.6317
6,Tennessee,Arkansas,away,15.49,11.29,1.7,Tennessee,1.7,0.5423
7,Tennessee,Alabama,home,15.49,22.02,-4.03,Alabama,4.03,0.4006
8,Tennessee,South Carolina,away,15.49,10.15,2.84,Tennessee,2.84,0.5704
10,Tennessee,Kentucky,home,15.49,6.79,11.2,Tennessee,11.2,0.758
11,Tennessee,Texas A&M,away,15.49,21.08,-8.09,Texas A&M,8.09,0.3066
12,Tennessee,LSU,home,15.49,13.13,4.86,Tennessee,4.86,0.6193
