ap_latest_rank,ap_preseason_rank,avg_closing_spread,avg_closing_total,avg_cover_margin,avg_lines_per_game,avg_margin,avg_opponent_postgame_elo,avg_opponent_pregame_elo,avg_points_against,avg_points_for,avg_team_postgame_elo,avg_team_pregame_elo,classification,coaches_latest_rank,coaches_preseason_rank,conference,defense_explosiveness_allowed,defense_havoc_created,defense_line_yards_allowed,defense_passing_down_success_rate_allowed,defense_points_per_opportunity_allowed,defense_ppa_allowed,defense_standard_down_success_rate_allowed,defense_success_rate_allowed,fbs_avg_margin,fbs_avg_opponent_postgame_elo,fbs_avg_opponent_pregame_elo,fbs_games,fbs_losses,fbs_margin_sum,fbs_opponent_postgame_elo_sum,fbs_opponent_pregame_elo_sum,fbs_win_pct,fbs_wins,games_played,games_with_lines,latest_team_postgame_elo,line_count_sum,losses,margin_sum,offense_explosiveness,offense_havoc_allowed,offense_line_yards,offense_passing_down_success_rate,offense_points_per_opportunity,offense_ppa,offense_standard_down_success_rate,offense_success_rate,opponent_postgame_elo_sum,opponent_pregame_elo_sum,points_against,points_for,recent_avg_cover_margin,recent_avg_margin,recent_fbs_avg_margin,recent_fbs_win_pct,recent_win_pct,talent,team,team_id,win_pct,wins
,,-11.75,51.333,13.25,3.0,25.0,1363.5,1414.5,10.5,35.5,1679.5,1628.5,fbs,,,ACC,1.490242,0.186,1.260526,0.22449,2.8,-0.081402,0.359375,0.300885,25.0,1363.5,1414.5,2,0,50,2727.0,2829.0,1.0,2,2,2,1678.0,6.0,0,50,1.230897,0.094,2.63662,0.4375,3.428571,0.197844,0.465347,0.456376,2727.0,2829.0,21,71,12.0,23.378,23.378,1.0,1.0,675.02,Pittsburgh,221,1.0,2
16,19,-17.75,56.417,6.75,3.0,24.5,778.5,775.5,17.0,41.5,1731.0,1734.0,fbs,16,20,ACC,1.284263,0.183,2.9375,0.232558,3.4,-0.084622,0.375,0.328244,3.0,1557.0,1551.0,1,0,3,1557.0,1551.0,1.0,1,2,2,1734.0,6.0,0,49,1.428174,0.139,2.966038,0.363636,3.928571,0.458771,0.629213,0.557377,1557.0,1551.0,34,83,7.297,26.243,3.0,1.0,1.0,764.5,SMU,2567,1.0,2
,,9.917,47.5,-4.583,3.0,-14.5,1675.0,1657.0,36.0,21.5,1383.5,1401.5,fbs,,,ACC,1.315674,0.124,2.922642,0.358491,6.083333,0.244585,0.5,0.448276,-14.5,1675.0,1657.0,2,1,-29,3350.0,3314.0,0.5,1,2,2,1354.0,6.0,1,-29,1.145721,0.094,2.886441,0.227273,3.090909,0.165287,0.473684,0.395683,3350.0,3314.0,72,43,-4.583,-14.5,-14.5,0.5,0.5,705.81,Stanford,24,0.5,1
,,-19.5,56.417,10.5,3.0,30.0,675.0,674.5,12.0,42.0,1287.5,1288.0,fbs,,,ACC,1.008326,0.203,1.890909,0.192308,1.888889,-0.253791,0.394366,0.308943,-3.0,1350.0,1349.0,1,1,-3,1350.0,1349.0,0.0,0,2,2,1287.0,6.0,1,60,1.362757,0.115,2.939726,0.339286,4.157895,0.090618,0.458716,0.418182,1350.0,1349.0,24,84,9.095,27.324,-3.0,0.0,0.4595,745.61,Syracuse,183,0.5,1
25,25,-25.667,53.5,15.333,3.0,41.0,753.0,785.0,5.5,46.5,1653.5,1621.5,fbs,25,25,ACC,0.642904,0.248,2.482353,0.204545,0.5,-0.367497,0.383562,0.316239,26.0,1506.0,1570.0,1,0,26,1506.0,1570.0,1.0,1,2,2,1652.0,6.0,0,82,1.133642,0.089,3.417204,0.310345,4.9375,0.336336,0.603774,0.540741,1506.0,1570.0,11,93,14.793,42.216,26.0,1.0,1.0,700.18,Virginia,258,1.0,2
,,-36.083,54.25,10.417,3.0,46.5,644.5,668.0,12.0,58.5,1444.5,1421.0,fbs,,,ACC,1.699334,0.387,-0.406154,0.207547,1.333333,-0.254807,0.188679,0.198113,23.0,1289.0,1336.0,1,0,23,1289.0,1336.0,1.0,1,2,2,1468.0,6.0,0,93,1.242042,0.11,3.12625,0.358974,5.235294,0.324657,0.540323,0.496933,1289.0,1336.0,24,117,10.005,44.595,23.0,1.0,1.0,769.12,Virginia Tech,259,1.0,2
,,-15.083,50.917,-3.083,3.0,12.0,1127.5,1121.5,26.0,38.0,1512.0,1518.0,fbs,,,ACC,0.922295,0.143,2.857143,0.4,3.363636,0.147143,0.529412,0.5,12.0,1127.5,1121.5,2,0,24,2255.0,2243.0,1.0,2,2,2,1508.0,6.0,0,24,1.347753,0.117,3.116901,0.444444,4.416667,0.416847,0.48913,0.474453,2255.0,2243.0,52,76,-2.887,11.189,11.189,1.0,1.0,680.87,Wake Forest,154,1.0,2
,,-20.167,48.333,5.833,3.0,26.0,838.0,839.5,15.5,41.5,1528.5,1527.0,fbs,,,American Athletic,1.140617,0.155,2.744444,0.297297,4.428571,0.112393,0.479452,0.418182,-4.0,1676.0,1679.0,1,1,-4,1676.0,1679.0,0.0,0,2,2,1530.0,6.0,1,52,1.023134,0.051,4.018519,0.307692,5.066667,0.423306,0.654545,0.588235,1676.0,1679.0,31,83,4.793,23.568,-4.0,0.0,0.4595,303.83,Army,349,0.5,1
,,12.0,54.417,-5.0,3.0,-17.0,925.5,918.5,42.0,25.0,1175.0,1182.0,fbs,,,American Athletic,1.168448,0.12,3.222535,0.545455,6.2,0.356322,0.565217,0.56,-32.0,1851.0,1837.0,1,1,-32,1851.0,1837.0,0.0,0,2,2,1168.0,6.0,2,-34,1.304828,0.129,2.935938,0.309524,2.3,0.109688,0.463918,0.417266,1851.0,1837.0,84,50,-3.581,-18.216,-32.0,0.0,0.0,576.77,Charlotte,2429,0.0,0
,,10.75,54.083,-9.75,3.0,-20.5,1574.0,1524.0,37.5,17.0,1469.5,1519.5,fbs,,,American Athletic,1.223214,0.124,2.766292,0.444444,4.25,0.206894,0.464646,0.457516,-20.5,1574.0,1524.0,2,2,-41,3148.0,3048.0,0.0,0,2,2,1462.0,6.0,2,-41,1.231798,0.184,2.371698,0.176471,4.25,0.109958,0.4875,0.394737,3148.0,3048.0,75,34,-9.73,-19.081,-19.081,0.0,0.0,623.79,East Carolina,151,0.0,0
,,15.25,59.5,-3.25,3.0,-18.5,1585.5,1556.0,48.0,29.5,1207.5,1237.0,fbs,,,American Athletic,1.578094,0.16,3.245946,0.277778,6.083333,0.373913,0.550562,0.472,-18.5,1585.5,1556.0,2,1,-37,3171.0,3112.0,0.5,1,2,2,1226.0,6.0,1,-37,1.154266,0.174,2.506579,0.346939,3.769231,0.085573,0.455285,0.424419,3171.0,3112.0,96,59,-1.986,-16.351,-16.351,0.5405,0.5405,593.36,Florida Atlantic,2226,0.5,1
,,1.111,54.111,3.111,3.0,2.0,1509.333,1509.333,27.667,29.667,1544.333,1544.333,fbs,,,American Athletic,1.387242,0.147,3.406542,0.25,3.285714,0.192649,0.539007,0.437788,2.0,1509.333,1509.333,3,1,6,4528.0,4528.0,0.6667,2,3,3,1526.0,9.0,1,6,1.448248,0.147,3.285437,0.294118,4.066667,0.235061,0.492063,0.435028,4528.0,4528.0,83,89,2.457,0.889,0.889,0.6296,0.6296,670.31,Memphis,235,0.6667,2
,,-17.75,55.0,-8.25,3.0,9.5,613.0,594.5,26.5,36.0,1531.5,1550.0,fbs,,,American Athletic,1.36454,0.148,2.631579,0.285714,3.8,0.147062,0.45,0.393443,-8.0,1226.0,1189.0,1,1,-8,1226.0,1189.0,0.0,0,2,2,1513.0,6.0,1,19,1.20537,0.125,3.885047,0.307692,5.6,0.319771,0.618557,0.529412,1226.0,1189.0,53,72,-8.581,8.081,-8.0,0.0,0.4595,195.68,Navy,2426,0.5,1
,,21.333,57.333,22.333,3.0,1.0,1796.5,1826.5,29.0,30.0,1644.5,1614.5,fbs,,,American Athletic,1.106883,0.151,2.457576,0.361111,4.0,0.103178,0.445783,0.420168,1.0,1796.5,1826.5,2,1,2,3593.0,3653.0,0.5,1,2,2,1699.0,6.0,1,2,1.437193,0.123,3.02973,0.347826,4.285714,0.198567,0.423913,0.398551,3593.0,3653.0,58,60,23.833,4.0,4.0,0.5405,0.5405,602.08,North Texas,249,0.5,1
,,11.0,51.0,-1.0,3.0,-12.0,1035.0,1010.5,27.5,15.5,1171.5,1196.0,fbs,,,American Athletic,1.21147,0.151,2.795385,0.25,3.428571,0.084127,0.523256,0.436508,-52.0,2070.0,2021.0,1,1,-52,2070.0,2021.0,0.0,0,2,2,1147.0,6.0,1,-24,1.061196,0.132,3.386408,0.195122,3.875,0.003927,0.522727,0.418605,2070.0,2021.0,55,31,-1.514,-15.243,-52.0,0.0,0.4595,589.89,Rice,242,0.5,1
,,-5.75,49.417,1.25,3.0,7.0,1457.5,1454.5,16.5,23.5,1677.5,1680.5,fbs,,,American Athletic,0.807974,0.136,3.045333,0.243902,4.25,-0.005883,0.525253,0.442857,7.0,1457.5,1454.5,2,0,14,2915.0,2909.0,1.0,2,2,2,1676.0,6.0,0,14,1.00438,0.132,2.629032,0.315789,4.7,0.140588,0.552632,0.473684,2915.0,2909.0,33,47,1.716,6.757,6.757,1.0,1.0,703.81,South Florida,58,1.0,2
,,4.917,50.667,7.917,3.0,3.0,940.0,945.5,20.5,23.5,1317.5,1312.0,fbs,,,American Athletic,1.167345,0.143,2.05,0.325,3.153846,0.088974,0.453488,0.412698,-18.0,1880.0,1891.0,1,1,-18,1880.0,1891.0,0.0,0,2,2,1323.0,6.0,1,6,1.136662,0.107,3.041333,0.305556,3.777778,0.130717,0.494118,0.438017,1880.0,1891.0,41,47,7.788,1.297,-18.0,0.0,0.4595,631.07,Temple,218,0.5,1
,,-0.25,49.667,-5.25,3.0,-5.0,1499.0,1485.5,20.5,15.5,1528.5,1542.0,fbs,,,American Athletic,1.254409,0.105,3.154545,0.316667,2.615385,0.060119,0.413043,0.375,-5.0,1499.0,1485.5,2,1,-10,2998.0,2971.0,0.5,1,2,2,1528.0,6.0,1,-10,1.498625,0.215,2.413462,0.153846,2.666667,0.10564,0.441176,0.336449,2998.0,2971.0,41,31,-5.27,-4.27,-4.27,0.5405,0.5405,665.11,Tulane,2655,0.5,1
,,0.583,54.583,10.583,3.0,10.0,1186.5,1202.0,13.5,23.5,1269.5,1254.0,fbs,,,American Athletic,1.018738,0.15,2.604839,0.352941,2.0,-0.08812,0.411765,0.392157,10.0,1186.5,1202.0,2,0,20,2373.0,2404.0,1.0,2,2,2,1271.0,6.0,0,20,1.304618,0.159,2.988235,0.145833,2.428571,0.085558,0.488095,0.363636,2373.0,2404.0,27,47,9.225,9.676,9.676,1.0,1.0,622.84,Tulsa,202,1.0,2
,,8.25,53.833,1.75,3.0,-6.5,1337.0,1317.0,31.0,24.5,1407.0,1427.0,fbs,,,American Athletic,1.052708,0.112,3.351515,0.37931,4.363636,0.083294,0.538462,0.495327,-6.5,1337.0,1317.0,2,1,-13,2674.0,2634.0,0.5,1,2,2,1403.0,6.0,1,-13,1.126406,0.149,3.434043,0.414634,2.916667,0.12518,0.485981,0.466216,2674.0,2634.0,62,49,1.338,-5.486,-5.486,0.5405,0.5405,606.18,UAB,5,0.5,1
,,-13.333,62.5,3.667,3.0,17.0,719.0,720.5,21.0,38.0,1523.5,1522.0,fbs,,,American Athletic,1.03329,0.136,3.455422,0.355556,3.071429,-0.012231,0.452991,0.425926,5.0,1438.0,1441.0,1,0,5,1438.0,1441.0,1.0,1,2,2,1525.0,6.0,0,34,1.096141,0.112,3.28,0.297297,3.727273,0.341009,0.628866,0.537313,1438.0,1441.0,42,76,3.923,16.027,5.0,1.0,1.0,655.82,UTSA,2636,1.0,2
,,-12.833,54.083,-4.333,3.0,8.5,841.5,833.0,17.5,26.0,1616.5,1625.0,fbs,,,Big 12,1.387519,0.18,2.826667,0.26087,3.5,0.03568,0.415385,0.351351,-11.0,1683.0,1666.0,1,1,-11,1683.0,1666.0,0.0,0,2,2,1608.0,6.0,1,17,0.955342,0.095,3.804918,0.4,4.0,0.135802,0.56701,0.518248,1683.0,1666.0,35,52,-4.32,6.919,-11.0,0.0,0.4595,699.59,Arizona,12,0.5,1
,,-14.5,52.0,3.0,3.0,17.5,945.0,924.5,27.5,45.0,1551.5,1572.0,fbs,,,Big 12,1.012997,0.14,2.517857,0.142857,4.1,-0.054555,0.43038,0.342105,-28.0,1890.0,1849.0,1,1,-28,1890.0,1849.0,0.0,0,2,2,1531.0,6.0,1,35,1.467888,0.163,2.953125,0.418605,3.928571,0.187925,0.48913,0.466667,1890.0,1849.0,55,90,1.703,13.811,-28.0,0.0,0.4595,722.0,Arizona State,9,0.5,1
11,14,-28.5,55.167,5.0,3.0,33.5,804.0,812.5,12.0,45.5,1674.5,1666.0,fbs,13,15,Big 12,1.13472,0.158,2.375,0.372093,3.0,-0.084502,0.363636,0.366667,11.0,1608.0,1625.0,1,0,11,1608.0,1625.0,1.0,1,2,2,1683.0,6.0,0,67,1.145296,0.047,4.075676,0.333333,5.6,0.505084,0.663366,0.59375,1608.0,1625.0,24,91,4.932,31.676,11.0,1.0,1.0,689.42,BYU,252,1.0,2
,,-15.5,57.0,4.5,3.0,20.0,806.5,806.5,10.0,30.0,1507.5,1507.5,fbs,,,Big 12,1.287063,0.214,2.285965,0.169811,1.0,-0.167317,0.333333,0.267176,-1.0,1613.0,1613.0,1,1,-1,1613.0,1613.0,0.0,0,2,2,1509.0,6.0,1,40,1.237662,0.151,3.166667,0.407407,3.692308,0.11291,0.44697,0.435484,1613.0,1613.0,20,60,4.419,21.703,-1.0,0.0,0.5405,723.28,Baylor,239,0.5,1
,,-21.75,56.417,13.75,3.0,35.5,685.0,703.0,12.5,48.0,1516.0,1498.0,fbs,,,Big 12,1.191261,0.183,2.990909,0.266667,3.428571,-0.020274,0.453488,0.389313,19.0,1370.0,1406.0,1,0,19,1370.0,1406.0,1.0,1,2,2,1516.0,6.0,0,71,1.23015,0.092,4.093478,0.378378,5.705882,0.428754,0.580952,0.528169,1370.0,1406.0,25,96,13.892,36.838,19.0,1.0,1.0,634.28,Cincinnati,2132,1.0,2
,,-16.0,55.333,0.0,3.0,16.0,776.5,781.5,17.0,33.0,1405.0,1400.0,fbs,,,Big 12,1.396893,0.254,2.4,0.326923,1.8,-0.06396,0.353659,0.343284,1.0,1553.0,1563.0,1,0,1,1553.0,1563.0,1.0,1,2,2,1404.0,6.0,0,32,1.377755,0.152,3.139024,0.346154,2.923077,0.255596,0.454545,0.417219,1553.0,1563.0,34,66,-0.608,17.216,1.0,1.0,1.0,731.62,Colorado,38,1.0,2
22,23,-36.25,56.083,5.75,3.0,42.0,630.0,633.0,13.0,55.0,1517.5,1514.5,fbs,23,24,Big 12,1.350826,0.254,1.332558,0.208333,3.5,-0.079856,0.371429,0.305085,13.0,1260.0,1266.0,1,0,13,1260.0,1266.0,1.0,1,2,2,1521.0,6.0,0,84,1.188146,0.108,4.155294,0.586207,5.105263,0.508632,0.618182,0.611511,1260.0,1266.0,26,110,6.851,44.351,13.0,1.0,1.0,695.93,Houston,248,1.0,2
,,-7.75,47.5,4.75,2.5,12.5,922.5,923.5,13.0,25.5,1587.0,1586.0,fbs,,,Big 12,1.121318,0.171,2.435714,0.162791,2.166667,-0.151724,0.406977,0.325581,-3.0,1845.0,1847.0,1,1,-3,1845.0,1847.0,0.0,0,2,2,1588.0,5.0,1,25,1.448454,0.175,2.646875,0.289474,5.666667,0.154213,0.338462,0.320388,1845.0,1847.0,26,51,5.257,11.243,-3.0,0.0,0.4595,669.55,Iowa State,66,0.5,1
,,-19.833,54.083,-5.833,3.0,14.0,845.5,833.0,22.0,36.0,1497.5,1510.0,fbs,,,Big 12,1.262836,0.219,2.038571,0.259259,3.4,0.003585,0.337838,0.304688,-17.0,1691.0,1666.0,1,1,-17,1691.0,1666.0,0.0,0,2,2,1485.0,6.0,1,28,1.448115,0.166,3.171084,0.340426,4.4,0.233826,0.510204,0.455172,1691.0,1666.0,44,72,-6.414,11.486,-17.0,0.0,0.4595,684.51,Kansas,2305,0.5,1
,,-29.5,51.833,18.0,3.0,47.5,766.5,800.5,5.0,52.5,1650.0,1616.0,fbs,,,Big 12,1.285475,0.257,1.867164,0.203704,1.0,-0.276004,0.271186,0.238938,27.0,1533.0,1601.0,1,0,27,1533.0,1601.0,1.0,1,2,2,1684.0,6.0,0,95,1.293716,0.095,3.592857,0.422222,4.75,0.334519,0.61165,0.554054,1533.0,1601.0,10,105,17.297,45.838,27.0,1.0,1.0,718.67,Kansas State,2306,1.0,2
,,5.333,56.333,2.333,3.0,-3.0,1539.5,1556.5,27.5,24.5,1243.0,1226.0,fbs,,,Big 12,1.33284,0.134,2.945,0.173913,3.692308,0.047946,0.479452,0.361345,-3.0,1539.5,1556.5,2,1,-6,3079.0,3113.0,0.5,1,2,2,1274.0,6.0,1,-6,1.028802,0.109,2.876316,0.314815,2.571429,-0.120539,0.438017,0.4,3079.0,3113.0,55,49,4.739,-2.108,-2.108,0.5405,0.5405,672.69,Oklahoma State,197,0.5,1
,,-26.0,51.417,-0.5,3.0,25.5,699.0,690.0,11.0,36.5,1596.5,1605.5,fbs,,,Big 12,0.966844,0.232,2.335849,0.307692,2.5,-0.121108,0.356164,0.339286,-5.0,1398.0,1380.0,1,1,-5,1398.0,1380.0,0.0,0,2,2,1598.0,6.0,1,51,1.192823,0.112,3.498611,0.205128,3.933333,0.27209,0.625,0.51049,1398.0,1380.0,22,73,0.473,27.973,-5.0,0.0,0.5405,730.79,TCU,2628,0.5,1
13,12,-35.333,56.667,-18.333,3.0,17.0,642.5,630.0,17.0,34.0,1857.5,1870.0,fbs,12,12,Big 12,1.702356,0.187,2.85814,0.303571,2.0,-0.011894,0.269231,0.283582,11.0,1285.0,1260.0,1,0,11,1285.0,1260.0,1.0,1,2,2,1845.0,6.0,0,34,1.122468,0.166,3.064198,0.297872,4.357143,0.236033,0.519231,0.450331,1285.0,1260.0,34,68,-18.023,16.514,11.0,1.0,1.0,767.89,Texas Tech,2641,1.0,2
