team,conference,record,fbs_record,rating,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
NC State,ACC,0-1,0-1,3.12,1.0,23.35,57.94,79.24,1506.0,0.0,-26.0,1591.0,-22.0,-0.14384,0.272622,0.0,0.0,757.14,,
TCU,Big 12,0-1,0-1,3.1,1.0,33.18,59.25,70.43,1595.0,0.0,-5.0,1380.0,-12.5,-0.045869,0.107152,0.0,0.0,730.79,,
Wisconsin,Big Ten,0-1,0-1,2.94,1.0,30.63,54.05,96.86,1475.0,0.0,-28.0,1995.0,-7.167,-0.043009,0.349068,0.0,0.0,767.68,,
Virginia,ACC,1-0,1-0,2.81,1.0,61.33,54.29,82.08,1655.0,1.0,26.0,1570.0,22.0,0.272622,-0.14384,0.0,0.0,700.18,25,
Arkansas,SEC,1-0,0-0,2.78,1.0,59.24,58.55,0.0,1547.0,0.0,0.0,0.0,-23.5,0.17625,-0.074617,0.0,0.0,745.48,,
Virginia Tech,ACC,1-0,0-0,2.54,1.0,89.03,47.16,0.0,1421.0,0.0,0.0,0.0,15.5,0.537471,-0.444875,0.0,0.0,769.12,,
Kansas State,Big 12,1-0,0-0,2.48,1.0,91.56,53.91,0.0,1616.0,0.0,0.0,0.0,26.667,0.587894,-0.276078,0.0,0.0,718.67,,
Arizona State,Big 12,1-0,0-0,2.24,1.0,82.65,52.46,0.0,1572.0,0.0,0.0,0.0,19.0,0.681106,-0.054372,0.0,0.0,722.0,,
UCLA,Big Ten,1-0,1-0,2.03,1.0,68.36,47.12,72.98,1438.0,1.0,21.0,1406.0,18.5,0.419785,0.133063,0.0,0.0,774.45,,
Minnesota,Big Ten,1-0,0-0,1.97,1.0,76.56,50.39,0.0,1510.0,0.0,0.0,0.0,9.5,0.342146,-0.384009,0.0,0.0,728.79,,
BYU,Big 12,1-0,0-0,1.95,1.0,88.9,57.6,0.0,1666.0,0.0,0.0,0.0,5.833,0.54247,-0.109228,0.0,0.0,689.42,15,
Arizona,Big 12,1-0,0-0,1.95,1.0,70.74,57.23,0.0,1625.0,0.0,0.0,0.0,-4.5,0.216206,-0.228626,0.0,0.0,699.59,,
James Madison,Sun Belt,1-0,1-0,1.94,1.0,47.91,57.08,88.18,1776.0,1.0,7.0,1703.0,1.0,0.279763,0.028036,0.0,0.0,588.31,,
Pittsburgh,ACC,1-0,1-0,1.84,1.0,66.29,52.22,73.37,1681.0,1.0,45.0,1364.0,28.667,0.426656,0.114011,0.0,0.0,675.02,,
UNLV,Mountain West,1-1,1-1,1.68,1.0,38.4,53.16,76.72,1577.5,0.5,4.5,1487.5,0.833,0.120026,0.089285,0.0,0.0,696.03,,
Liberty,Conference USA,0-1,0-1,1.53,1.0,31.89,56.18,89.06,1697.0,0.0,-7.0,1770.0,-1.0,0.028036,0.279763,0.0,0.0,633.35,,
Houston,Big 12,1-0,1-0,1.53,1.0,58.7,50.31,67.31,1514.0,1.0,13.0,1266.0,-7.833,0.312247,0.182879,0.0,0.0,695.93,22,
Memphis,American Athletic,2-0,2-0,1.41,1.0,61.86,48.19,77.04,1553.5,1.0,12.0,1479.5,9.0,0.394294,0.105805,0.0,0.0,670.31,,
Baylor,Big 12,0-1,0-1,1.39,1.0,41.6,50.25,82.08,1506.0,0.0,-1.0,1613.0,5.5,0.054174,0.028238,0.0,0.0,723.28,,
North Carolina,ACC,1-0,1-0,1.36,1.0,52.26,45.67,82.31,1398.0,1.0,5.0,1613.0,12.5,0.107152,-0.045869,0.0,0.0,767.89,,
Northwestern,Big Ten,1-0,0-0,1.0,1.0,67.46,50.61,0.0,1549.0,0.0,0.0,0.0,2.5,0.479649,0.128381,0.0,0.0,688.32,,
Maryland,Big Ten,1-0,0-0,1.0,1.0,81.47,43.31,0.0,1424.0,0.0,0.0,0.0,16.5,0.503655,-0.24306,0.0,0.0,719.64,,
Rutgers,Big Ten,0-1,0-1,0.87,1.0,43.87,50.15,52.59,1381.0,0.0,-16.0,978.0,-45.333,0.203096,0.329973,0.0,0.0,709.04,,
Wake Forest,ACC,1-0,1-0,0.85,1.0,64.48,49.12,52.71,1516.0,1.0,22.0,925.0,-5.5,0.477589,0.021979,0.0,0.0,680.87,,
Syracuse,ACC,1-0,0-0,0.76,1.0,70.75,35.26,0.0,1288.0,0.0,0.0,0.0,27.833,0.351265,-0.256306,0.0,0.0,745.61,,
Iowa State,Big 12,1-0,0-0,0.7,1.0,42.6,52.0,0.0,1586.0,0.0,0.0,0.0,-1.5,0.244667,-0.059524,0.0,0.0,669.55,,
Duke,ACC,1-0,1-0,0.61,1.0,25.8,51.84,80.97,1607.0,1.0,14.0,1555.0,5.0,-0.050566,0.004092,0.0,0.0,668.47,,
Kansas,Big 12,1-0,0-0,0.57,1.0,80.69,48.02,0.0,1510.0,0.0,0.0,0.0,1.333,0.569043,-0.176148,0.0,0.0,684.51,,
California,ACC,0-1,0-1,0.49,1.0,33.94,47.04,69.25,1349.0,0.0,-21.0,1381.0,-18.5,0.133063,0.419785,0.0,0.0,751.92,,
Colorado,Big 12,1-0,1-0,-0.06,1.0,38.47,44.16,79.34,1406.0,1.0,1.0,1563.0,7.5,0.052211,0.074022,0.0,0.0,731.62,,
Tulane,American Athletic,0-1,0-1,-0.11,1.0,30.25,49.06,79.07,1529.0,0.0,-14.0,1581.0,-5.0,0.004092,-0.050566,0.0,0.0,665.11,,
UCF,Big 12,1-0,0-0,-0.17,1.0,76.37,41.19,0.0,1465.0,0.0,0.0,0.0,23.5,0.549334,-0.162907,0.0,0.0,672.14,,
UTSA,American Athletic,1-0,0-0,-0.24,1.0,86.4,46.63,0.0,1522.0,0.0,0.0,0.0,0.5,0.514423,-0.063779,0.0,0.0,655.82,,
Washington State,Pac-12,0-1,0-1,-0.42,1.0,32.98,48.72,86.86,1601.0,0.0,-14.0,1744.0,9.333,-0.023141,0.077972,0.0,0.0,630.29,,
Purdue,Big Ten,1-0,0-0,-0.5,1.0,60.7,38.61,0.0,1318.0,0.0,0.0,0.0,-10.167,0.372095,0.007618,0.0,0.0,698.33,,
UConn,FBS Independents,1-0,0-0,-0.64,1.0,74.02,40.2,0.0,1484.0,0.0,0.0,0.0,28.167,0.573278,-0.158301,0.0,0.0,652.56,,
Michigan State,Big Ten,1-0,1-0,-0.69,1.0,27.88,45.03,81.96,1468.0,1.0,10.0,1597.0,0.0,0.022632,0.284185,0.0,0.0,685.02,,
Boise State,Pac-12,0-1,0-1,-0.71,1.0,35.52,45.94,93.81,1569.0,0.0,-7.0,1880.0,17.667,0.11263,0.27709,0.0,0.0,641.17,,
West Virginia,Big 12,1-0,1-0,-0.74,1.0,43.15,42.72,66.4,1365.0,1.0,7.0,1275.0,-14.0,0.125312,0.219087,0.0,0.0,707.6,,
Texas State,Pac-12,0-1,0-1,-0.9,1.0,38.57,44.76,87.2,1441.0,0.0,-52.0,1784.0,-22.5,0.139052,0.458651,0.0,0.0,624.81,,
North Texas,American Athletic,0-1,0-1,-0.99,1.0,26.43,47.17,100.0,1590.0,0.0,-36.0,2064.0,3.833,0.134556,0.653558,0.0,0.0,602.08,,
Stanford,ACC,1-1,1-1,-1.06,1.0,42.66,42.91,82.3,1383.5,0.5,-14.5,1657.0,-4.583,0.180838,0.245148,0.0,0.0,705.81,,
Cincinnati,Big 12,1-0,1-0,-1.67,1.0,45.61,42.27,73.89,1516.0,1.0,19.0,1406.0,12.0,0.241041,0.114871,0.0,0.0,634.28,,
San Diego State,Pac-12,1-0,0-0,-1.74,1.0,57.71,43.61,0.0,1518.0,0.0,0.0,0.0,-6.167,0.227557,0.02711,0.0,0.0,609.22,,
Georgia Southern,Sun Belt,1-0,0-0,-2.07,1.0,56.98,35.45,0.0,1376.0,0.0,0.0,0.0,2.667,0.244418,-0.294818,0.0,0.0,634.19,,
East Carolina,American Athletic,0-1,0-1,-2.19,1.0,12.35,44.37,85.27,1477.0,0.0,-38.0,1738.0,-10.0,-0.198543,0.292156,0.0,0.0,623.79,,
Boston College,ACC,0-1,0-1,-2.23,1.0,38.43,39.82,73.39,1370.0,0.0,-19.0,1480.0,-12.0,0.114871,0.241041,0.0,0.0,660.0,,
Temple,American Athletic,1-0,0-0,-2.67,1.0,55.14,30.24,0.0,1312.0,0.0,0.0,0.0,9.5,0.170163,-0.022679,0.0,0.0,631.07,,
Fresno State,Pac-12,0-1,0-1,-2.96,1.0,7.37,42.45,85.62,1449.0,0.0,-39.0,1752.0,-17.167,-0.336134,0.332991,0.0,0.0,609.75,,
App State,Sun Belt,1-0,0-0,-2.98,1.0,88.77,26.41,0.0,1310.0,0.0,0.0,0.0,31.167,0.607857,-0.070754,0.0,0.0,621.61,,
Toledo,Mid-American,0-1,0-1,-3.07,1.0,37.78,42.3,72.98,1568.0,0.0,-10.0,1439.0,0.0,0.284185,0.022632,0.0,0.0,556.26,,
Western Kentucky,Conference USA,0-1,0-1,-3.23,1.0,36.83,38.0,67.96,1327.0,0.0,-35.0,1351.0,-35.667,0.065623,0.556279,0.0,0.0,611.52,,
Southern Miss,Sun Belt,1-0,0-0,-3.27,1.0,73.26,28.11,0.0,1350.0,0.0,0.0,0.0,26.167,0.402182,-0.127677,0.0,0.0,602.63,,
New Mexico,Mountain West,1-0,1-0,-3.28,1.0,56.49,38.1,70.69,1558.0,1.0,31.0,1321.0,20.0,0.218711,-0.052182,0.0,0.0,568.19,,
Louisiana,Sun Belt,1-0,0-0,-3.33,1.0,72.44,31.76,0.0,1389.0,0.0,0.0,0.0,10.667,0.305366,-0.122199,0.0,0.0,590.94,,
Marshall,Sun Belt,0-1,0-1,-3.75,1.0,16.9,38.22,87.14,1389.0,0.0,-45.0,1802.0,-21.667,-0.167851,0.422096,0.0,0.0,594.71,,
Jacksonville State,Conference USA,1-1,0-1,-3.84,1.0,53.06,37.36,22.81,1430.0,0.0,-26.0,1500.0,0.167,0.140922,0.054445,0.0,0.0,602.83,,
Troy,Sun Belt,1-0,1-0,-3.87,1.0,38.2,37.42,60.15,1420.0,1.0,3.0,1162.0,-13.167,0.156908,0.167962,0.0,0.0,596.19,,
South Alabama,Sun Belt,1-0,0-0,-3.87,1.0,45.63,30.35,0.0,1390.0,0.0,0.0,0.0,11.333,0.167908,0.168009,0.0,0.0,573.38,,
