team,conference,record,fbs_record,rating,resume_score,efficiency_score,power_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Jacksonville State,Conference USA,9-5,8-5,46.92,48.97,46.54,44.97,1545.29,0.6154,0.462,1346.231,2.509,0.186878,0.154319,0.137494,0.202304,519.93,,
Maryland,Big Ten,4-8,3-8,46.26,42.87,45.02,51.66,1506.08,0.2727,-5.727,1588.909,-0.979,0.113569,0.112229,0.094655,0.126549,699.31,,
Hawai'i,Mountain West,9-4,8-4,46.17,56.62,45.92,34.27,1331.0,0.6667,3.667,1422.583,3.737,0.16742,0.163303,0.140406,0.199071,481.2,,
Louisiana Tech,Conference USA,8-5,7-5,46.16,49.67,50.08,37.51,1428.23,0.5833,5.083,1325.75,4.795,0.141238,0.045351,0.131322,0.125542,493.5,,
California,ACC,7-6,6-6,45.95,46.97,43.93,47.11,1438.62,0.5,-4.667,1502.083,-2.846,0.124528,0.162322,0.125811,0.194427,726.21,,
Army,American Athletic,7-6,7-5,45.52,51.39,47.2,36.71,1552.77,0.5833,2.667,1425.5,0.923,0.185317,0.175006,0.161088,0.151197,23.66,,
Utah State,Mountain West,6-7,5-7,45.45,47.87,47.3,40.47,1415.85,0.4167,-1.0,1473.083,4.436,0.20469,0.197736,0.166274,0.194629,503.59,,
Michigan State,Big Ten,4-8,3-8,45.43,46.03,42.86,47.74,1385.92,0.2727,-7.364,1677.636,-2.0,0.130567,0.197972,0.13831,0.171414,717.42,,
Troy,Sun Belt,8-6,7-6,45.0,49.79,42.78,41.99,1431.43,0.5385,-1.846,1437.462,2.911,0.080908,0.112433,0.067444,0.13443,561.87,,
Kennesaw State,Conference USA,10-4,9-4,44.3,53.61,46.91,30.4,1317.14,0.6923,0.231,1394.846,1.295,0.153555,0.165752,0.15205,0.190129,338.87,,
Marshall,Sun Belt,5-7,4-7,44.01,41.26,44.81,46.28,1515.17,0.3636,-2.273,1427.273,1.438,0.160986,0.160356,0.14505,0.162508,590.64,,
Miami (OH),Mid-American,7-7,6-7,43.93,43.3,45.85,42.44,1446.93,0.4615,-1.0,1393.846,0.289,0.101724,0.087664,0.091695,0.150148,592.1,,
UCLA,Big Ten,3-9,3-9,43.11,41.22,36.91,52.54,1374.17,0.25,-15.25,1702.333,-5.903,0.117325,0.260926,0.15026,0.185249,766.62,,
Colorado,Big 12,3-9,3-9,43.05,36.33,38.14,56.63,1522.08,0.25,-9.583,1563.5,-6.042,0.083939,0.189919,0.117918,0.173802,755.2,,
Florida International,Conference USA,7-6,6-6,42.54,45.72,45.24,35.67,1317.23,0.5,-4.333,1428.583,0.878,0.15773,0.149935,0.102728,0.168547,562.61,,
Stanford,ACC,4-8,4-8,42.3,47.33,36.61,43.08,1269.58,0.3333,-10.333,1600.25,4.194,0.063267,0.17839,0.103695,0.150213,707.27,,
Southern Miss,Sun Belt,7-6,6-6,41.95,43.58,48.93,31.89,1251.92,0.5,0.0,1386.583,-1.795,0.162536,0.115779,0.129776,0.155866,602.53,,
Virginia Tech,ACC,3-9,2-9,40.58,33.37,40.69,48.88,1445.58,0.1818,-12.455,1582.636,-6.306,0.171799,0.268247,0.18972,0.234818,712.19,,
West Virginia,Big 12,4-8,3-8,40.49,40.37,36.91,44.8,1369.67,0.2727,-13.727,1622.091,-3.174,0.071099,0.158526,0.092338,0.163234,662.33,,
Missouri State,Conference USA,7-6,6-6,40.41,43.94,42.72,33.62,1342.0,0.5,-6.083,1398.583,1.378,0.171375,0.24396,0.14644,0.242683,426.1,,
Liberty,Conference USA,4-8,3-8,39.77,33.16,43.36,43.28,1461.75,0.2727,-2.909,1411.818,-4.368,0.167218,0.203934,0.165586,0.22983,599.12,,
Georgia Southern,Sun Belt,7-6,6-6,39.48,42.87,38.88,36.22,1321.0,0.5,-7.083,1428.333,-2.237,0.200708,0.26657,0.178029,0.282599,574.48,,
Delaware,Conference USA,7-6,6-6,39.48,41.77,42.59,33.19,1417.38,0.5,-3.667,1375.167,-1.744,0.192645,0.207568,0.153633,0.236852,242.85,,
Central Michigan,Mid-American,7-6,6-6,39.26,41.8,48.04,26.04,1201.77,0.5,-4.333,1344.083,1.244,0.136623,0.08441,0.123694,0.152365,481.16,,
Purdue,Big Ten,2-10,1-10,38.81,38.13,34.99,44.06,1297.5,0.0909,-15.818,1741.455,-3.306,0.097369,0.269712,0.121956,0.205709,687.74,,
North Carolina,ACC,4-8,3-8,38.43,33.94,38.53,43.56,1379.17,0.2727,-8.909,1465.818,-3.965,0.061444,0.148726,0.089925,0.189176,753.2,,
Wyoming,Mountain West,4-8,3-8,38.23,35.5,42.65,36.26,1350.0,0.2727,-7.091,1454.273,-1.493,0.048684,0.068912,0.0291,0.110151,489.33,,
Arkansas State,Sun Belt,7-6,6-6,37.96,44.82,35.26,33.1,1273.92,0.5,-3.917,1389.75,2.308,0.09019,0.192424,0.047686,0.191808,591.27,,
Temple,American Athletic,5-7,4-7,37.88,42.35,38.62,31.8,1257.83,0.3636,-6.364,1456.455,3.271,0.179942,0.258093,0.139167,0.253539,507.91,,
Boston College,ACC,2-10,1-10,37.77,31.35,39.02,43.78,1374.58,0.0909,-13.091,1579.273,-2.965,0.160762,0.234613,0.149325,0.240671,650.12,,
Louisiana,Sun Belt,6-7,5-7,37.56,38.68,36.1,37.97,1368.15,0.4167,-5.5,1388.833,-1.378,0.113054,0.195547,0.092919,0.215825,585.82,,
Air Force,Mountain West,4-8,3-8,36.65,36.95,35.4,37.78,1374.17,0.2727,-3.818,1446.0,-0.312,0.286936,0.401644,0.230365,0.363985,,,
