team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Washington,Big Ten,3-0,2-0,7.31,4.18,12.01,7.83,Medium,1.0,74.87,94.08,60.28,1757.0,1.0,8.0,1497.5,-15.556,0.172742,-0.214375,0.0,0.0,777.63,19,
Virginia Tech,ACC,3-0,2-0,6.76,6.62,6.97,0.35,Medium,1.0,77.24,49.23,65.2,1459.33,1.0,16.0,1415.5,9.111,0.344343,-0.037028,0.0,0.0,769.12,,
Northwestern,Big Ten,2-0,1-0,6.45,9.15,2.39,-6.76,Low,1.0,73.09,20.24,81.45,1587.0,1.0,34.0,1406.0,16.5,0.326932,-0.003963,0.0,0.0,688.32,,
UCLA,Big Ten,3-0,3-0,6.34,6.98,5.38,-1.6,Medium,1.0,76.6,52.08,75.16,1475.67,1.0,17.667,1416.667,7.778,0.355201,0.01974,0.0,0.0,774.45,,
Iowa State,Big 12,2-1,1-1,6.22,8.79,2.36,-6.42,Medium,1.0,64.84,28.19,78.8,1619.0,0.5,22.5,1537.0,11.5,0.217225,-0.155343,0.0,0.0,669.55,,
Pittsburgh,ACC,3-0,3-0,6.1,7.17,4.48,-2.7,Medium,1.0,66.38,30.14,77.07,1678.0,1.0,21.333,1372.0,9.944,0.179841,-0.080734,0.0,0.0,675.02,,
Duke,ACC,3-0,3-0,6.1,8.13,3.05,-5.08,Medium,1.0,60.04,28.49,77.47,1625.33,1.0,15.333,1501.333,11.222,0.203041,-0.060255,0.0,0.0,668.47,,
Arizona,Big 12,2-1,1-1,6.07,4.55,8.35,3.8,Medium,1.0,68.7,69.79,57.54,1622.33,0.5,7.0,1466.0,-6.056,0.23011,0.036081,0.0,0.0,699.59,,
James Madison,Sun Belt,3-0,2-0,6.03,8.56,2.23,-6.32,Medium,1.0,88.91,0.0,67.14,1776.33,1.0,10.0,1586.0,18.111,0.357409,-0.205332,0.0,0.0,588.31,,
Wisconsin,Big Ten,2-1,1-1,5.88,4.87,7.39,2.51,Medium,1.0,61.47,69.74,67.31,1503.33,0.5,8.0,1644.0,-1.0,0.206919,-0.007957,0.0,0.0,767.68,,
Houston,Big 12,2-1,1-1,5.46,3.2,8.85,5.65,Medium,1.0,85.42,47.04,60.31,1517.67,0.5,5.5,1555.5,5.778,0.428049,0.036222,0.0,0.0,695.93,25,
Boise State,Pac-12,2-1,1-1,4.94,5.58,3.97,-1.61,Medium,1.0,65.59,42.6,68.57,1594.67,0.5,5.5,1723.0,4.0,0.277973,0.076382,0.0,0.0,641.17,,
Vanderbilt,SEC,3-0,2-0,4.72,3.54,6.48,2.94,Medium,1.0,61.77,70.24,56.51,1747.0,1.0,6.5,1455.0,-6.889,0.175034,-0.056329,0.0,0.0,727.39,,
Baylor,Big 12,2-1,1-1,4.7,4.31,5.28,0.96,Medium,1.0,60.43,58.18,60.78,1516.33,0.5,8.0,1509.0,2.0,0.140109,-0.100254,0.0,0.0,723.28,,
Florida State,ACC,1-2,1-2,4.55,3.7,5.83,2.12,Medium,1.0,36.81,76.2,66.79,1553.67,0.3333,0.0,1624.667,-3.167,0.193892,0.30853,0.0,0.0,800.2,,
Virginia,ACC,2-1,1-1,4.54,3.2,6.55,3.35,Medium,1.0,77.18,49.38,58.13,1639.67,0.5,7.5,1467.5,3.0,0.273121,-0.121545,0.0,0.0,700.18,25,
Illinois,Big Ten,2-1,1-1,4.51,3.11,6.62,3.52,Medium,1.0,71.73,68.15,61.01,1590.33,0.5,7.5,1525.0,-4.611,0.29259,0.084035,0.0,0.0,704.01,,
Kentucky,SEC,2-1,1-1,4.51,3.96,5.32,1.36,Medium,1.0,62.97,58.26,58.42,1474.0,0.5,-9.0,1856.5,5.611,0.197592,0.02796,0.0,0.0,786.65,,
Liberty,Conference USA,2-1,1-1,4.31,7.86,-1.01,-8.87,Medium,1.0,47.8,52.09,64.98,1707.33,0.5,14.5,1441.0,-2.444,0.081878,0.078325,0.0,0.0,633.35,,
North Dakota State,Mountain West,4-0,3-0,4.28,5.28,2.78,-2.51,Medium,1.0,62.98,30.72,69.12,1572.25,1.0,17.667,1414.0,3.833,0.156825,-0.156098,0.0,0.0,515.59,,
TCU,Big 12,2-1,1-1,3.81,2.74,5.41,2.67,Medium,1.0,78.14,57.19,55.4,1607.33,0.5,9.5,1366.5,1.389,0.252838,-0.144467,0.0,0.0,730.79,,
South Florida,American Athletic,3-0,2-0,3.76,4.15,3.17,-0.99,Medium,1.0,75.69,49.66,57.05,1679.0,1.0,7.0,1454.5,2.444,0.338424,0.040599,0.0,0.0,703.81,,
Clemson,ACC,2-1,2-1,3.71,1.23,7.42,6.19,Medium,1.0,27.93,98.45,51.39,1553.0,0.6667,-6.0,1463.333,-10.278,-0.055581,0.103151,0.0,0.0,862.85,,
Maryland,Big Ten,2-1,1-1,3.38,4.26,2.05,-2.21,Medium,1.0,77.07,47.49,58.39,1464.33,0.5,7.5,1476.0,7.5,0.346887,0.013541,0.0,0.0,719.64,,
Michigan State,Big Ten,2-1,2-1,3.08,4.29,1.27,-3.02,Medium,1.0,46.52,42.5,77.27,1511.0,0.6667,7.0,1673.333,7.389,0.084934,0.113923,0.0,0.0,685.02,,
New Mexico,Mountain West,2-1,1-1,2.56,5.21,-1.41,-6.63,Medium,1.0,65.05,5.5,66.86,1560.33,0.5,11.5,1552.0,18.0,0.102085,-0.219534,0.0,0.0,568.19,,
Arizona State,Big 12,2-1,1-1,2.12,-0.51,6.07,6.58,Medium,1.0,48.41,55.89,47.46,1546.0,0.5,-10.5,1667.0,2.556,0.058159,0.022552,0.0,0.0,722.0,,
