team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
New Mexico State,Conference USA,1-2,0-2,-11.92,-10.44,-14.13,-3.69,Medium,1.0,51.42,30.0,34.46,1262.33,0.0,-13.5,1481.5,6.444,0.154792,0.095882,0.0,0.0,460.38,,
Kennesaw State,Conference USA,1-2,0-2,-12.06,-12.8,-10.95,1.84,Medium,1.0,49.45,42.21,23.3,1328.33,0.0,-23.5,1485.0,1.889,0.107091,0.121867,0.0,0.0,502.86,,
Sam Houston,Conference USA,1-2,0-2,-12.5,-9.18,-17.49,-8.31,Medium,1.0,68.01,15.43,37.99,1160.0,0.0,-4.5,1345.0,19.111,0.224678,-0.033082,0.0,0.0,554.47,,
Missouri State,Conference USA,1-2,0-2,-12.94,-12.0,-14.36,-2.36,Medium,1.0,43.12,49.68,22.32,1277.67,0.0,-28.0,1568.0,1.5,0.178098,0.241278,0.0,0.0,549.92,,
Charlotte,American Athletic,0-3,0-2,-13.07,-9.6,-18.27,-8.68,Medium,1.0,28.85,58.5,33.59,1173.0,0.0,-18.5,1581.0,0.333,0.024174,0.245285,0.0,0.0,576.77,,
Eastern Michigan,Mid-American,1-3,1-3,-13.36,-14.38,-11.83,2.54,High,1.0,23.74,75.45,38.68,1298.5,0.25,-16.75,1462.25,-9.125,-0.098836,0.16423,0.0,0.0,580.64,,
Northern Illinois,Mountain West,0-3,0-2,-14.21,-12.69,-16.49,-3.8,Medium,1.0,22.85,52.75,23.57,1250.33,0.0,-32.5,1699.5,-0.111,-0.142125,0.137634,0.0,0.0,536.58,,
UL Monroe,Sun Belt,0-3,0-2,-14.63,-12.73,-17.47,-4.74,Medium,1.0,22.54,77.11,16.62,1075.33,0.0,-27.5,1444.5,-9.944,-0.110283,0.306915,0.0,0.0,505.49,,
Ball State,Mid-American,1-2,0-2,-15.16,-14.71,-15.83,-1.11,Medium,1.0,19.08,70.83,15.2,1089.67,0.0,-44.5,1811.0,-4.556,0.044016,0.368591,0.0,0.0,563.88,,
Bowling Green,Mid-American,0-3,0-2,-15.56,-15.27,-15.99,-0.71,Medium,1.0,13.63,94.67,0.0,1233.0,0.0,-48.5,1590.0,-17.389,-0.080267,0.324643,0.0,0.0,568.33,,
UTEP,Mountain West,1-2,0-2,-16.23,-15.26,-17.68,-2.41,Medium,1.0,18.95,59.17,11.74,1145.33,0.0,-43.0,1704.0,0.944,-0.167055,0.234369,0.0,0.0,585.76,,
Southern Miss,Sun Belt,1-2,0-2,-16.54,-17.78,-14.69,3.09,Medium,1.0,43.92,58.64,15.56,1286.33,0.0,-31.5,1513.0,-0.222,0.01216,0.119785,0.0,0.0,602.63,,
Sacramento State,Mid-American,1-3,0-3,-16.64,-15.54,-18.3,-2.76,Medium,1.0,37.87,56.56,20.95,1390.75,0.0,-26.0,1447.333,-2.833,-0.043666,0.096497,0.0,0.0,561.42,,
Kent State,Mid-American,1-2,0-2,-17.2,-15.92,-19.11,-3.19,Medium,1.0,12.47,68.99,1.32,1032.67,0.0,-56.5,1807.0,-4.722,-0.112746,0.24207,0.0,0.0,522.83,,
Akron,Mid-American,1-2,0-2,-19.51,-20.28,-18.35,1.93,Medium,1.0,44.87,63.32,17.73,910.33,0.0,-28.0,1486.0,0.833,0.076054,0.180639,0.0,0.0,546.84,,
