team,conference,games,ats_cover_rate,average_ats_margin,average_model_bias_margin,model_edge_picks,edge_pick_hit_rate,model_margin_mae,market_margin_mae
UConn,FBS Independents,2,0.5,7.835,4.74,2,0.5,17.73,20.335
Wake Forest,ACC,2,0.0,-3.085,-4.73,0,0.0,4.73,3.085
Towson,,2,1.0,6.335,-4.645,1,1.0,7.895,6.335
New Mexico State,Conference USA,3,0.6667,6.443,-4.627,1,1.0,5.56,8.11
Air Force,Mountain West,2,0.5,-0.415,-4.235,0,0.0,4.235,3.915
Stony Brook,,1,0.0,-10.5,-4.22,0,0.0,4.22,10.5
Coastal Carolina,Sun Belt,2,1.0,7.585,-4.155,1,1.0,4.155,7.585
Charleston Southern,,1,0.0,-2.67,-4.14,0,0.0,4.14,2.67
Eastern Michigan,Mid-American,3,0.3333,-5.333,4.137,1,0.0,10.27,6.667
NC State,ACC,2,0.5,8.835,-4.13,2,0.5,27.24,30.835
Louisville,ACC,2,1.0,5.335,-4.075,1,1.0,4.075,5.335
Kansas,Big 12,2,0.5,-5.835,3.995,1,0.0,9.225,7.165
Florida State,ACC,2,0.0,-7.0,3.975,1,0.0,3.975,7.0
Hawai'i,Mountain West,3,0.3333,-5.0,3.893,1,1.0,4.827,6.667
Tennessee State,,1,0.0,-10.67,3.75,0,0.0,3.75,10.67
Merrimack,,1,0.0,-3.5,3.71,1,0.0,3.71,3.5
Boston College,ACC,2,0.5,-4.0,3.59,1,0.0,10.59,8.0
Missouri,SEC,2,0.5,-1.25,-3.585,0,0.0,9.635,14.25
Lamar,,1,0.0,-10.67,-3.58,0,0.0,3.58,10.67
Holy Cross,,1,0.0,-7.5,3.53,0,0.0,3.53,7.5
Howard,,1,1.0,2.5,3.53,1,1.0,3.53,2.5
Houston Christian,,1,0.0,-5.33,-3.41,0,0.0,3.41,5.33
TCU,Big 12,2,0.5,-0.5,-3.325,0,0.0,10.155,12.0
Lindenwood,,1,0.0,-17.33,3.23,0,0.0,3.23,17.33
Georgia Southern,Sun Belt,2,1.0,3.75,3.215,2,1.0,3.215,3.75
Baylor,Big 12,2,1.0,4.5,-3.13,1,1.0,3.13,4.5
Iowa State,Big 12,2,0.5,4.75,2.855,2,0.5,9.285,6.25
Portland State,,1,1.0,6.17,-2.77,1,1.0,2.77,6.17
Middle Tennessee,Conference USA,2,1.0,5.915,2.715,2,1.0,4.995,5.915
Sam Houston,Conference USA,2,1.0,9.67,-2.545,2,1.0,6.345,9.67
West Virginia,Big 12,2,0.5,-5.25,-2.42,0,0.0,4.41,8.75
Furman,,1,1.0,2.33,-2.39,0,0.0,2.39,2.33
SMU,ACC,2,0.5,6.75,-2.37,1,1.0,2.37,6.75
UTSA,American Athletic,2,1.0,3.665,2.195,2,1.0,7.375,3.665
San José State,Mountain West,3,0.6667,5.777,2.177,3,0.6667,12.723,13.443
Memphis,American Athletic,3,0.6667,3.11,-2.023,2,0.5,11.877,8.89
South Alabama,Sun Belt,2,1.0,8.415,2.01,2,1.0,5.96,8.415
Navy,American Athletic,2,0.0,-8.25,-1.85,0,0.0,1.85,8.25
Southern Miss,Sun Belt,2,0.5,11.92,1.81,2,0.5,15.39,14.25
Colorado,Big 12,2,0.5,0.0,1.74,2,0.5,6.67,7.5
Villanova,,1,0.0,-7.17,1.67,0,0.0,1.67,7.17
Norfolk State,,2,0.5,5.83,1.54,2,0.5,12.44,14.5
Akron,Mid-American,2,1.0,7.0,-1.37,1,1.0,7.73,7.0
Oregon State,Pac-12,2,1.0,11.165,-1.325,2,1.0,2.165,11.165
Ohio,Mid-American,2,0.5,-2.0,1.02,1,0.0,6.41,2.33
North Carolina,ACC,2,0.5,4.335,0.93,2,0.5,7.76,8.165
USC,Big Ten,3,0.3333,-5.277,-0.863,0,0.0,10.923,16.723
Arkansas State,Sun Belt,2,0.5,3.0,0.8,2,0.5,11.23,10.5
Illinois,Big Ten,2,0.0,-8.58,0.78,0,0.0,8.2,8.58
Louisiana,Sun Belt,2,1.0,11.17,-0.675,2,1.0,4.255,11.17
Kennesaw State,Conference USA,2,0.5,1.585,-0.67,1,1.0,16.12,22.915
UC Davis,,1,0.0,-13.5,0.65,0,0.0,0.65,13.5
Campbell,,1,1.0,2.5,0.58,1,1.0,0.58,2.5
Sacred Heart,,1,0.0,-3.5,0.55,0,0.0,0.55,3.5
Southern Utah,,1,0.0,-14.33,-0.33,0,0.0,0.33,14.33
Ole Miss,SEC,2,0.0,-8.0,0.31,1,0.0,6.17,8.0
Prairie View A&M,,1,0.0,-3.5,0.27,0,0.0,0.27,3.5
Monmouth,,1,0.0,-5.83,-0.11,0,0.0,0.11,5.83
