event_id,commence_time,week,display_week,week_label,game_type,schedule_match_status,edge_review_flag,betting_status,market_status,home_team,away_team,neutral_site,book_count,model_home_margin,model_home_spread,model_margin_std_dev,model_home_win_probability,market_home_spread,market_home_margin,edge_home_points,edge_side,absolute_edge_points,model_favorite,market_favorite,market_total,actual_home_points,actual_away_points,actual_home_margin,actual_winner,best_away_book,best_away_price,best_away_spread,best_home_book,best_home_price,best_home_spread,betmgm_away_moneyline,betmgm_away_spread,betmgm_away_spread_price,betmgm_home_moneyline,betmgm_home_spread,betmgm_home_spread_price,betmgm_over_price,betmgm_total,betmgm_under_price,betonlineag_away_moneyline,betonlineag_away_spread,betonlineag_away_spread_price,betonlineag_home_moneyline,betonlineag_home_spread,betonlineag_home_spread_price,betonlineag_over_price,betonlineag_total,betonlineag_under_price,betrivers_away_moneyline,betrivers_away_spread,betrivers_away_spread_price,betrivers_home_moneyline,betrivers_home_spread,betrivers_home_spread_price,betrivers_over_price,betrivers_total,betrivers_under_price,betus_away_moneyline,betus_away_spread,betus_away_spread_price,betus_home_moneyline,betus_home_spread,betus_home_spread_price,betus_over_price,betus_total,betus_under_price,bovada_away_moneyline,bovada_away_spread,bovada_away_spread_price,bovada_home_moneyline,bovada_home_spread,bovada_home_spread_price,bovada_over_price,bovada_total,bovada_under_price,break_even_probability,captured_at_utc,draftkings_away_moneyline,draftkings_away_spread,draftkings_away_spread_price,draftkings_home_moneyline,draftkings_home_spread,draftkings_home_spread_price,draftkings_over_price,draftkings_total,draftkings_under_price,fanduel_away_moneyline,fanduel_away_spread,fanduel_away_spread_price,fanduel_home_moneyline,fanduel_home_spread,fanduel_home_spread_price,fanduel_over_price,fanduel_total,fanduel_under_price,line_shopping_value,lowvig_away_moneyline,lowvig_away_spread,lowvig_away_spread_price,lowvig_home_moneyline,lowvig_home_spread,lowvig_home_spread_price,lowvig_over_price,lowvig_total,lowvig_under_price,mybookieag_away_moneyline,mybookieag_away_spread,mybookieag_away_spread_price,mybookieag_home_moneyline,mybookieag_home_spread,mybookieag_home_spread_price,mybookieag_over_price,mybookieag_total,mybookieag_under_price,selected_best_book,selected_best_price,selected_best_spread
11c5e9c2cf899388abd0dae30ea71db9,2026-09-26T16:45:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Kentucky,South Alabama,False,9,12.34,-12.34,16.0,0.7797,-20.5,20.5,-8.16,South Alabama,8.16,Kentucky,Kentucky,54.5,,,,,lowvig,-109,20.5,lowvig,-103,-20.5,900,20.5,-110,-1400,-20.5,-108,-110,54.5,-108,874,20.5,-113,-1500,-20.5,-107,-110,54.5,-110,900,20.5,-110,-2000,-20.5,-113,-109,54.5,-114,,20.5,-110,,-20.5,-110,-110,54.5,-110,775,20.5,-110,-1500,-20.5,-110,-110,54.5,-110,0.5215,2026-09-21T21:56:06+00:00,900,20.5,-110,-1600,-20.5,-110,-115,54.5,-105,890,20.5,-110,-1700,-20.5,-110,-110,54.5,-112,0.0,874,20.5,-109,-1500,-20.5,-103,-108,54.5,-108,775,20.5,-110,-1442,-20.5,-110,-110,54.5,-110,lowvig,-109,20.5
ce4578738432ad6327f4e3a4909ddcb5,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Virginia,Delaware,False,9,12.53,-12.53,16.0,0.7832,-19.44,19.44,-6.91,Delaware,6.91,Virginia,Virginia,52.61,,,,,betmgm,-110,20.0,betus,-110,-19.0,850,20.0,-110,-1200,-20.0,-108,-110,52.5,-108,836,19.0,-105,-1400,-19.0,-115,-110,52.5,-110,850,20.0,-112,-1667,-20.0,-112,-112,52.5,-112,,19.0,-110,,-19.0,-110,-110,52.5,-110,750,19.5,-105,-1400,-19.5,-115,-110,52.5,-110,0.5238,2026-09-21T21:56:06+00:00,850,19.5,-110,-1450,-19.5,-110,-112,52.5,-108,860,19.5,-102,-1600,-19.5,-120,-110,53.5,-110,0.56,836,19.0,-101,-1400,-19.0,-111,-108,52.5,-108,700,19.5,-110,-1205,-19.5,-110,-110,52.5,-110,betmgm,-110,20.0
9e0eaa3fed3125ec9629a777bf077185,2026-09-24T23:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Coastal Carolina,Liberty,False,9,-9.34,9.34,16.0,0.2797,2.44,-2.44,-6.9,Liberty,6.9,Liberty,Liberty,52.17,,,,,mybookieag,-110,-2.0,lowvig,-101,2.5,-140,-2.5,-112,115,2.5,-105,-105,52.5,-115,-138,-2.5,-115,118,2.5,-105,-110,52.0,-110,-134,-2.5,-110,108,2.5,-113,-113,52.0,-109,-140,-2.5,-115,120,2.5,-105,-110,52.0,-110,-135,-2.5,-115,115,2.5,-105,-115,52.0,-105,0.5238,2026-09-21T21:56:06+00:00,-135,-2.5,-112,114,2.5,-108,-105,52.5,-115,-132,-2.5,-110,110,2.5,-110,-110,52.5,-110,0.44,-138,-2.5,-111,118,2.5,-101,-108,52.0,-108,-138,-2.0,-110,112,2.0,-110,-110,52.0,-110,mybookieag,-110,-2.0
83516ad7ba3e8ef9f90498cfcaf10eb5,2026-09-26T23:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,USC,Oregon,False,9,3.58,-3.58,16.0,0.5885,2.94,-2.94,6.52,USC,6.52,USC,Oregon,62.44,,,,,fanduel,-124,-2.5,lowvig,-104,3.0,-160,-3.0,-108,130,3.0,-110,-108,62.5,-110,-160,-3.0,-112,140,3.0,-108,-110,62.5,-110,-152,-3.0,-113,123,3.0,-110,-114,62.0,-109,-160,-3.0,-110,138,3.0,-110,-110,62.5,-110,-160,-3.0,-110,135,3.0,-110,-105,62.5,-115,0.5098,2026-09-21T21:56:06+00:00,-162,-3.0,-108,136,3.0,-112,-108,62.5,-112,-150,-2.5,-124,125,2.5,102,-110,62.5,-110,0.06,-160,-3.0,-108,140,3.0,-104,-108,62.5,-108,-159,-3.0,-110,129,3.0,-110,-110,62.5,-110,lowvig,-104,3.0
2e454a12c5301843ab7ec1a1eaf4f237,2026-09-25T23:00:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,UAB,Navy,False,9,-0.8,0.8,16.0,0.4801,7.06,-7.06,6.26,UAB,6.26,Navy,Navy,51.44,,,,,bovada,-105,-7.0,fanduel,-120,7.5,-275,-7.0,-110,230,7.0,-108,-108,51.5,-110,-275,-7.0,-110,226,7.0,-110,-105,51.5,-115,-286,-7.0,-113,220,7.0,-110,-114,51.5,-109,-275,-7.0,-110,230,7.0,-110,-105,51.5,-115,-275,-7.0,-105,225,7.0,-115,-105,51.5,-115,0.5455,2026-09-21T21:56:06+00:00,-278,-7.0,-110,225,7.0,-110,-108,51.5,-112,-280,-7.5,-102,225,7.5,-120,-114,51.5,-106,0.44,-275,-7.0,-106,226,7.0,-106,-103,51.5,-114,-295,-7.0,-110,228,7.0,-110,-110,51.0,-110,fanduel,-120,7.5
008dd61e19c2456760593773da6a88ef,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Old Dominion,James Madison,False,9,-11.9,11.9,16.0,0.2285,5.83,-5.83,-6.07,James Madison,6.07,James Madison,James Madison,45.61,,,,,lowvig,-111,-5.5,betmgm,-108,6.0,-225,-6.0,-110,188,6.0,-108,-110,45.5,-108,-225,-5.5,-115,189,5.5,-105,-110,45.5,-110,-220,-6.0,-110,170,6.0,-113,-112,45.5,-112,-225,-6.0,-110,190,6.0,-110,-110,45.5,-110,-225,-6.0,-110,185,6.0,-110,-105,46.0,-115,0.5261,2026-09-21T21:56:06+00:00,-225,-6.0,-108,185,6.0,-112,-108,45.5,-112,-230,-5.5,-115,188,5.5,-105,-114,45.5,-108,0.33,-225,-5.5,-111,189,5.5,-101,-108,45.5,-108,-228,-6.0,-110,181,6.0,-110,-110,46.0,-110,lowvig,-111,-5.5
f0985218c2ed146bb0295c4e9c4a0dd7,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Western Michigan,Boise State,False,9,-2.68,2.68,16.0,0.4335,7.11,-7.11,4.43,Western Michigan,4.43,Boise State,Boise State,48.22,,,,,mybookieag,-110,-7.0,betrivers,-113,7.5,-275,-7.0,-118,220,7.0,-102,-105,48.5,-112,-265,-7.0,-118,219,7.0,-102,-110,48.0,-110,-315,-7.5,-109,240,7.5,-113,-112,47.5,-112,-265,-7.0,-115,223,7.0,-105,-110,48.0,-110,-285,-7.0,-115,235,7.0,-105,-110,48.5,-110,0.5305,2026-09-21T21:56:06+00:00,-270,-7.0,-112,220,7.0,-108,-108,48.5,-112,-275,-7.5,-102,220,7.5,-120,-110,48.5,-110,0.39,-265,-7.0,-114,219,7.0,102,-108,48.0,-108,-310,-7.0,-110,240,7.0,-110,-110,48.5,-110,betrivers,-113,7.5
891673ae39457f51a701ca482c2f7280,2026-09-27T00:00:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Arkansas,Tulsa,False,9,2.92,-2.92,16.0,0.5724,-7.11,7.11,-4.19,Tulsa,4.19,Arkansas,Arkansas,51.56,,,,,lowvig,-116,7.5,betrivers,-115,-6.5,225,7.0,-105,-275,-7.0,-112,-118,51.5,-102,226,7.5,-120,-275,-7.5,100,-105,51.5,-115,205,6.5,-108,-265,-6.5,-115,-113,51.5,-110,230,7.0,-105,-275,-7.0,-115,-105,51.5,-115,230,7.0,-110,-280,-7.0,-110,-110,51.5,-110,0.537,2026-09-21T21:56:06+00:00,220,7.0,-108,-270,-7.0,-112,-115,51.5,-105,230,7.5,-122,-285,-7.5,100,-110,51.5,-110,0.39,226,7.5,-116,-275,-7.5,104,-103,51.5,-114,224,7.0,-110,-285,-7.0,-110,-110,52.0,-110,lowvig,-116,7.5
d9a781a64fc2c4b45290db32b5ec3f20,2026-09-25T20:00:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Temple,Army,False,9,1.06,-1.06,16.0,0.5264,3.06,-3.06,4.12,Temple,4.12,Temple,Army,48.17,,,,,mybookieag,-110,-3.0,fanduel,-120,3.5,-160,-3.0,-115,135,3.0,-105,-105,48.5,-115,-155,-3.0,-115,135,3.0,-105,-110,48.0,-110,-157,-3.0,-112,125,3.0,-112,-114,48.0,-109,-155,-3.0,-110,134,3.0,-110,-110,48.0,-110,-150,-3.0,-110,130,3.0,-110,-110,48.0,-110,0.5455,2026-09-21T21:56:06+00:00,-162,-3.0,-112,136,3.0,-108,-105,48.5,-115,-156,-3.5,-102,130,3.5,-120,-110,48.5,-110,0.44,-155,-3.0,-111,135,3.0,-101,-108,48.0,-108,-161,-3.0,-110,131,3.0,-110,-110,48.0,-110,fanduel,-120,3.5
c80f5f34b99b9346f4e40cf5304d941d,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Charlotte,Louisiana,False,9,-6.11,6.11,16.0,0.3513,10.22,-10.22,4.11,Charlotte,4.11,Louisiana,Louisiana,49.56,,,,,lowvig,-111,-10.0,fanduel,-110,10.5,-450,-10.5,-105,340,10.5,-112,-108,49.5,-110,-425,-10.0,-115,334,10.0,-105,-110,49.0,-110,-455,-10.0,-114,325,10.0,-109,-113,50.0,-110,-425,-10.5,-110,333,10.5,-110,-110,49.5,-110,-435,-10.0,-115,325,10.0,-105,-110,49.5,-110,0.5238,2026-09-21T21:56:06+00:00,-410,-10.0,-115,320,10.0,-105,-110,49.5,-110,-465,-10.5,-110,350,10.5,-110,-105,50.5,-115,0.28,-425,-10.0,-111,334,10.0,-101,-108,49.0,-108,-461,-10.5,-110,340,10.5,-110,-110,49.5,-110,fanduel,-110,10.5
