event_id,captured_at_utc,commence_time,week,display_week,week_label,game_type,home_team,away_team,book_count,model_home_spread,market_home_spread,edge_side,absolute_edge_points,betting_status,best_home_spread,best_home_price,best_home_book,best_away_spread,best_away_price,best_away_book,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value
48683523200ecdbeb09a2e6eb0d0a1f7,2026-09-21T00:31:51+00:00,2026-09-26T02:30:00Z,4,4,Week 4,FBS vs FBS,California,Clemson,8,4.22,-0.75,Clemson,4.97,Standard,0.0,-106,lowvig,1.5,-112,draftkings,1.5,-112,draftkings,0.5283,0.75
48683523200ecdbeb09a2e6eb0d0a1f7,2026-09-21T21:56:06+00:00,2026-09-26T02:30:00Z,4,4,Week 4,FBS vs FBS,California,Clemson,9,4.67,0.61,Clemson,4.06,Standard,1.5,-110,bovada,1.0,-113,betrivers,1.0,-113,betrivers,0.5305,1.61
69b1a0ff5fb2c67c6627b5c8cf8368cb,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Tennessee,Texas,8,3.85,3.86,Tennessee,0.01,Standard,4.5,-109,betrivers,-3.5,-109,lowvig,4.5,-109,betrivers,0.5215,0.64
69b1a0ff5fb2c67c6627b5c8cf8368cb,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Tennessee,Texas,9,4.05,5.56,Tennessee,1.51,Standard,6.0,-115,bovada,-5.5,-106,lowvig,6.0,-115,bovada,0.5349,0.44
775ad63a769838c1e1da423293c9c60d,2026-09-21T00:31:51+00:00,2026-09-26T00:00:00Z,4,4,Week 4,FBS vs FBS,Indiana,Northwestern,8,-18.48,-21.81,Northwestern,3.33,Standard,-21.5,-106,lowvig,22.5,-110,fanduel,22.5,-110,fanduel,0.5238,0.69
775ad63a769838c1e1da423293c9c60d,2026-09-21T21:56:06+00:00,2026-09-26T00:00:00Z,4,4,Week 4,FBS vs FBS,Indiana,Northwestern,9,-18.38,-21.0,Northwestern,2.62,Standard,-20.5,-115,bovada,21.5,-110,mybookieag,21.5,-110,mybookieag,0.5238,0.5
83516ad7ba3e8ef9f90498cfcaf10eb5,2026-09-21T00:31:51+00:00,2026-09-26T23:30:00Z,4,4,Week 4,FBS vs FBS,USC,Oregon,8,-3.66,2.5,USC,6.16,Standard,2.5,-102,draftkings,-2.5,-108,lowvig,2.5,-102,draftkings,0.505,0.0
83516ad7ba3e8ef9f90498cfcaf10eb5,2026-09-21T21:56:06+00:00,2026-09-26T23:30:00Z,4,4,Week 4,FBS vs FBS,USC,Oregon,9,-3.58,2.94,USC,6.52,Standard,3.0,-104,lowvig,-2.5,-124,fanduel,3.0,-104,lowvig,0.5098,0.06
886538e98f0884df3d655d9d2d2ca567,2026-09-21T00:31:51+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Florida,Ole Miss,7,-1.02,-2.86,Ole Miss,1.84,Standard,-2.5,-112,betrivers,3.0,-105,draftkings,3.0,-105,draftkings,0.5122,0.14
886538e98f0884df3d655d9d2d2ca567,2026-09-21T21:56:06+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Florida,Ole Miss,8,-1.04,-3.19,Ole Miss,2.15,Standard,-2.5,-124,fanduel,3.5,-110,mybookieag,3.5,-110,mybookieag,0.5238,0.31
